PLAYER_ID,SEASON,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,PTS_PER_PAINT_TOUCH,touches_per_min,time_poss_per_min,front_ct_touches_per_min,paint_touch_share,post_touch_share,elbow_touch_share,DRIVE_FG_PCT,drives_per_min,drive_pts_per_drive,drive_ast_rate,drive_tov_rate,drive_pf_rate,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,dist_miles_per_48min,dist_miles_off_per_48min,dist_miles_def_per_48min,AST_TO_PASS_PCT,passes_per_min,ast_per_pass,secondary_ast_rate,potential_ast_rate,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT,catch_fga_per_min,catch_fg3a_per_min,PULL_UP_FG_PCT,PULL_UP_FG3_PCT,PULL_UP_EFG_PCT,pullup_fga_per_min
203932,2015-16,1.92,1.08,0.24,0.93,1.6,0.05,0.8,0.1,0.02,0.03,0.41,0.09,0.58,0.07,0.08,0.08,4.56,5.08,4.06,3.585,1.992,1.593,0.06,1.16,0.06,0.0,0.1,0.31,0.3,0.44,0.09,0.07,0.36,0.18,0.37,0.05
201143,2015-16,1.6,0.57,0.24,0.78,1.98,0.05,1.31,0.1,0.06,0.07,0.54,0.07,0.56,0.11,0.06,0.07,4.06,4.42,3.73,3.29,1.645,1.495,0.07,1.49,0.07,0.01,0.14,0.41,0.35,0.5,0.19,0.09,0.34,0.0,0.34,0.01
202692,2015-16,3.82,3.27,0.28,0.33,1.88,0.12,1.17,0.01,0.0,0.02,0.46,0.31,0.67,0.04,0.08,0.15,4.23,4.44,4.02,3.362,1.868,1.494,0.06,1.26,0.06,0.0,0.15,0.39,0.4,0.56,0.07,0.06,0.36,0.41,0.41,0.17
203458,2015-16,1.58,0.38,0.24,0.73,1.64,0.04,0.92,0.18,0.13,0.11,0.39,0.03,0.54,0.07,0.04,0.11,4.08,4.33,3.82,3.296,1.648,1.442,0.05,1.12,0.05,0.0,0.11,0.35,0.17,0.36,0.09,0.0,0.25,0.0,0.25,0.02
202087,2015-16,1.87,0.91,0.21,0.66,0.95,0.03,0.67,0.09,0.01,0.02,0.56,0.06,0.55,0.09,0.1,0.09,4.56,4.81,4.33,3.643,1.929,1.714,0.06,0.72,0.06,0.01,0.11,0.32,0.3,0.44,0.04,0.03,0.17,0.2,0.2,0.01
2760,2015-16,1.67,0.55,0.15,0.52,1.85,0.05,1.05,0.11,0.03,0.13,0.57,0.05,0.48,0.0,0.17,0.09,4.36,4.6,4.1,3.574,2.043,1.532,0.05,1.48,0.05,0.01,0.11,0.36,0.0,0.36,0.09,0.0,0.22,0.0,0.22,0.02
203083,2015-16,1.82,0.68,0.42,0.88,1.17,0.04,0.78,0.33,0.16,0.09,0.37,0.03,0.59,0.01,0.07,0.18,3.94,4.11,3.77,3.21,1.605,1.459,0.04,0.63,0.04,0.0,0.11,0.47,0.0,0.47,0.01,0.0,0.37,0.25,0.38,0.02
2738,2015-16,2.91,1.98,0.17,0.74,1.56,0.08,0.96,0.04,0.01,0.02,0.54,0.07,0.42,0.14,0.05,0.04,4.16,4.59,3.78,3.248,1.805,1.624,0.1,1.24,0.1,0.02,0.19,0.39,0.41,0.57,0.08,0.07,0.34,0.19,0.37,0.05
1889,2015-16,5.3,4.93,0.13,0.83,2.33,0.21,0.87,0.03,0.02,0.01,0.51,0.25,0.49,0.18,0.08,0.05,3.92,4.2,3.63,3.254,1.627,1.627,0.1,1.88,0.1,0.02,0.2,0.5,0.5,0.67,0.02,0.01,0.44,0.0,0.44,0.07
203460,2015-16,1.47,0.55,0.28,0.87,0.77,0.02,0.57,0.14,0.0,0.03,0.21,0.03,0.24,0.09,0.09,0.07,4.58,4.83,4.36,3.676,1.946,1.73,0.06,0.53,0.06,0.01,0.14,0.31,0.31,0.46,0.06,0.06,0.0,0.0,0.0,0.0
101106,2015-16,1.71,0.46,0.15,0.83,1.77,0.05,0.96,0.14,0.07,0.05,0.33,0.01,0.5,0.1,0.1,0.3,3.83,4.2,3.5,3.014,1.623,1.391,0.08,1.47,0.08,0.01,0.14,0.22,0.0,0.22,0.0,0.0,0.29,1.0,0.32,0.01
203952,2015-16,2.74,1.81,0.44,0.97,1.33,0.06,1.12,0.07,0.08,0.06,0.49,0.21,0.69,0.05,0.08,0.13,4.06,4.34,3.78,3.282,1.778,1.504,0.08,0.68,0.09,0.02,0.19,0.36,0.34,0.48,0.07,0.05,0.36,0.23,0.38,0.15
203076,2015-16,1.86,0.73,0.36,1.07,1.92,0.06,1.24,0.11,0.1,0.09,0.44,0.07,0.76,0.02,0.03,0.11,3.99,4.31,3.69,3.245,1.623,1.487,0.04,1.23,0.04,0.0,0.09,0.43,0.34,0.48,0.15,0.05,0.4,0.29,0.4,0.1
201627,2015-16,1.68,0.84,0.45,0.4,0.92,0.03,0.8,0.02,0.0,0.02,0.35,0.07,0.54,0.01,0.09,0.04,4.17,4.54,3.8,3.176,1.765,1.412,0.05,0.51,0.05,0.01,0.12,0.39,0.38,0.56,0.21,0.19,0.43,0.37,0.47,0.09
203462,2015-16,4.34,3.82,0.22,0.75,2.1,0.15,0.94,0.03,0.0,0.01,0.42,0.3,0.55,0.06,0.08,0.12,4.36,4.67,4.06,3.446,1.969,1.723,0.07,1.48,0.07,0.01,0.15,0.3,0.24,0.4,0.06,0.05,0.25,0.17,0.29,0.07
203382,2015-16,1.53,0.36,0.37,0.8,1.12,0.03,0.85,0.32,0.08,0.22,1.0,0.0,0.83,0.17,0.33,0.17,4.06,4.24,3.87,3.158,1.579,1.579,0.06,0.68,0.06,0.01,0.15,0.41,0.0,0.41,0.07,0.0,0.5,0.0,0.5,0.01
203085,2015-16,4.29,3.95,0.23,0.8,1.74,0.12,0.78,0.02,0.0,0.01,0.48,0.24,0.58,0.08,0.04,0.06,4.32,4.51,4.13,3.523,1.761,1.541,0.05,1.24,0.05,0.01,0.12,0.38,0.38,0.57,0.08,0.08,0.35,0.25,0.39,0.11
202340,2015-16,1.98,1.63,0.39,1.06,1.15,0.04,0.89,0.04,0.0,0.04,0.49,0.05,0.71,0.07,0.06,0.09,4.3,4.56,4.07,3.449,1.725,1.725,0.09,0.67,0.09,0.01,0.18,0.37,0.37,0.5,0.18,0.12,0.39,0.34,0.44,0.11
1626253,2015-16,1.79,0.81,0.26,0.59,0.98,0.03,0.62,0.07,0.0,0.02,0.0,0.02,0.17,0.0,0.17,0.33,4.41,4.63,4.19,3.641,1.655,1.655,0.07,0.67,0.07,0.01,0.13,0.33,0.32,0.47,0.15,0.13,0.29,0.0,0.29,0.02
203463,2015-16,1.85,1.19,0.32,0.69,1.16,0.04,0.75,0.05,0.0,0.03,0.37,0.13,0.4,0.09,0.11,0.07,4.68,5.07,4.32,3.623,2.038,1.811,0.08,0.72,0.08,0.01,0.13,0.37,0.37,0.52,0.14,0.11,0.38,0.41,0.42,0.05
202687,2015-16,1.55,0.27,0.2,0.74,1.27,0.03,0.6,0.19,0.01,0.06,0.0,0.0,0.14,0.0,0.0,0.29,4.1,4.28,3.9,3.258,1.738,1.52,0.02,1.0,0.02,0.0,0.04,0.4,0.0,0.4,0.02,0.0,0.29,0.0,0.29,0.01
201933,2015-16,2.36,1.3,0.25,0.85,2.52,0.1,1.57,0.07,0.08,0.09,0.55,0.1,0.7,0.07,0.04,0.15,3.82,4.08,3.56,3.018,1.581,1.437,0.08,1.76,0.08,0.01,0.16,0.42,0.4,0.43,0.19,0.01,0.32,0.25,0.33,0.1
1626171,2015-16,1.81,0.66,0.22,0.84,1.81,0.05,1.03,0.1,0.07,0.04,0.28,0.05,0.4,0.02,0.08,0.02,4.41,4.76,4.07,3.506,1.888,1.618,0.04,1.3,0.04,0.0,0.08,0.42,0.33,0.48,0.12,0.04,0.21,0.0,0.21,0.06
2564,2015-16,2.07,1.03,0.17,0.66,2.02,0.07,1.29,0.06,0.11,0.06,0.52,0.1,0.5,0.13,0.09,0.06,4.26,4.61,3.89,3.429,1.846,1.582,0.08,1.61,0.08,0.01,0.15,0.37,0.36,0.5,0.07,0.04,0.32,0.4,0.34,0.03
203078,2015-16,3.06,2.65,0.34,0.7,1.65,0.08,1.19,0.03,0.01,0.03,0.52,0.24,0.61,0.08,0.06,0.05,4.34,4.73,3.98,3.395,1.852,1.698,0.09,1.04,0.09,0.02,0.2,0.39,0.39,0.55,0.13,0.11,0.39,0.4,0.44,0.18
