GROUP_SET,GROUP_ID,GROUP_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED,TEAM_ID,SEASON
Lineups,203999-1627750-1631124-1631212-1641816,N. Jokić - J. Murray - J. Strawther - P. Watson - H. Tyson,3,3,0,1.0,12.0,130.6,136.7,128.8,124.1,1.8,12.5,0.714,5.0,21.7,0.462,0.727,0.583,0.067,0.635,0.674,123.4,122.63,102.19,30,0.612,101,60,1,1,72,68,423,123,132,9,103,84,164,113,318,95,84,80,120,34640,1610612743,2024-25
Lineups,201566-203999-1631128-1631212-1641816,R. Westbrook - N. Jokić - C. Braun - P. Watson - H. Tyson,6,3,3,0.5,10.0,52.4,50.0,101.0,104.2,-48.5,-54.2,1.0,2.5,16.1,0.133,0.846,0.464,0.083,0.25,0.287,116.7,117.55,97.96,24,0.2,45,60,484,310,80,284,366,464,1,54,198,227,103,238,324,279,285,96,269,29400,1610612743,2024-25
Lineups,201566-203999-1629008-1631124-1641816,R. Westbrook - N. Jokić - M. Porter Jr. - J. Strawther - H. Tyson,6,4,2,0.667,9.0,139.1,134.8,116.3,109.1,22.9,25.7,0.667,3.0,19.4,0.25,0.75,0.55,0.087,0.656,0.728,110.0,115.28,96.07,23,0.677,45,41,435,261,85,73,373,100,150,34,151,178,147,140,327,84,59,113,94,28105,1610612743,2024-25
Lineups,201566-203999-1631124-1631128-1641816,R. Westbrook - N. Jokić - J. Strawther - C. Braun - H. Tyson,3,3,0,1.0,8.0,123.9,122.2,124.5,130.0,-0.6,-7.8,0.875,1.4,25.9,0.5,0.7,0.643,0.278,0.75,0.799,115.2,113.29,94.41,18,0.524,101,60,1,1,101,115,441,390,81,124,50,52,180,87,497,43,43,127,163,24150,1610612743,2024-25
Lineups,201566-203999-1631124-1631212-1641816,R. Westbrook - N. Jokić - J. Strawther - P. Watson - H. Tyson,8,6,2,0.75,8.0,103.5,105.3,119.3,110.0,-15.8,-4.7,0.667,1.2,20.0,0.625,0.875,0.75,0.263,0.529,0.546,109.7,113.34,94.45,19,0.44,33,22,435,245,97,162,379,384,150,135,123,43,94,38,490,160,186,126,197,24775,1610612743,2024-25
Lineups,203932-203999-1629008-1631128-1641816,A. Gordon - N. Jokić - M. Porter Jr. - C. Braun - H. Tyson,1,1,0,1.0,6.0,122.0,150.0,101.7,107.7,20.2,42.3,0.667,4.0,19.0,0.625,0.875,0.75,0.083,0.5,0.571,105.6,92.54,77.12,12,0.68,230,164,1,1,120,37,371,61,150,17,156,43,94,38,324,170,163,318,92,19450,1610612743,2024-25
Lineups,203999-1629618-1631124-1631128-1641816,N. Jokić - J. Pickett - J. Strawther - C. Braun - H. Tyson,4,3,1,0.75,6.0,107.1,100.0,204.5,200.0,-97.3,-100.0,0.5,1.0,8.3,0.714,1.0,0.765,0.167,0.265,0.313,82.6,86.52,72.1,12,0.103,76,60,239,245,121,170,509,493,204,142,251,29,1,37,418,277,281,331,285,19140,1610612743,2024-25
Lineups,203999-1631124-1631128-1631212-1641816,N. Jokić - J. Strawther - C. Braun - P. Watson - H. Tyson,4,3,1,0.75,6.0,134.5,113.3,92.3,92.9,42.2,20.5,0.8,2.0,19.0,0.4,0.625,0.538,0.133,0.55,0.672,110.2,119.59,99.66,15,0.769,76,60,239,245,130,142,313,115,97,70,156,98,229,147,378,149,86,88,71,17460,1610612743,2024-25
Lineups,201566-203999-1629008-1631124-1641725,R. Westbrook - N. Jokić - M. Porter Jr. - J. Strawther - T. Alexander,2,1,1,0.5,5.0,146.0,170.0,77.8,70.0,68.3,100.0,0.6,1.5,20.0,0.667,0.75,0.714,0.2,0.688,0.799,108.5,105.15,87.62,10,1.167,145,164,239,310,150,24,269,17,179,112,123,30,147,51,444,61,44,195,26,13695,1610612743,2024-25
Lineups,203484-203932-203999-1629008-1631221,K. Caldwell-Pope - A. Gordon - N. Jokic - M. Porter Jr. - C. Gillespie,8,4,4,0.5,53.0,129.2,131.1,101.1,99.1,28.2,32.0,0.717,5.43,24.1,0.333,0.741,0.537,0.068,0.581,0.6,96.0,96.29,80.24,103,0.641,38,49,479,337,11,81,304,82,122,8,83,99,153,122,324,116,128,239,93,157770,1610612743,2023-24
