PLAYER_ID,PLAYER,SEASON,FINAL_ARCHETYPE
1630552,Jalen Johnson,2024-25,Wing Shot Creator
1630552,Jalen Johnson,2023-24,All Around Big
1630552,Jalen Johnson,2022-23,Rim Runner/Protector
1630811,Keaton Wallace,2024-25,All Around Guard
1627747,Caris LeVert,2018-19,Pure Point Guard
1627747,Caris LeVert,2024-25,All Around Guard
1627747,Caris LeVert,2016-17,All Around Guard
1627747,Caris LeVert,2020-21,Shot Creator Guard
1627747,Caris LeVert,2021-22,Pure Point Guard
1627747,Caris LeVert,2017-18,Shot Creator Guard
1627747,Caris LeVert,2022-23,Shot Creator Guard
1627747,Caris LeVert,2023-24,Pure Point Guard
1627747,Caris LeVert,2019-20,Shot Creator Guard
1641723,Kobe Bufkin,2024-25,All Around Guard
1641723,Kobe Bufkin,2023-24,All Around Guard
1630700,Dyson Daniels,2024-25,Pure Point Guard
1630700,Dyson Daniels,2023-24,Pure Point Guard
1630700,Dyson Daniels,2022-23,Pure Point Guard
1642258,Zaccharie Risacher,2024-25,Movement Shooter
1629027,Trae Young,2018-19,Shot Creator Guard
1629027,Trae Young,2024-25,Shot Creator Guard
1629027,Trae Young,2020-21,Shot Creator Guard
1629027,Trae Young,2021-22,Shot Creator Guard
1629027,Trae Young,2022-23,Shot Creator Guard
1629027,Trae Young,2023-24,Pure Point Guard
1629027,Trae Young,2019-20,Shot Creator Guard
1629611,Terance Mann,2024-25,Movement Shooter
1629611,Terance Mann,2020-21,Wing Shot Creator
1629611,Terance Mann,2021-22,Movement Shooter
1629611,Terance Mann,2022-23,Wing Shot Creator
1629611,Terance Mann,2023-24,Rim Runner/Protector
203991,Clint Capela,2018-19,Rim Runner/Protector
203991,Clint Capela,2024-25,Rim Runner/Protector
203991,Clint Capela,2016-17,Rim Runner/Protector
203991,Clint Capela,2020-21,Rim Runner/Protector
203991,Clint Capela,2021-22,Rim Runner/Protector
203991,Clint Capela,2017-18,Rim Runner/Protector
203991,Clint Capela,2022-23,Rim Runner/Protector
203991,Clint Capela,2023-24,Rim Runner/Protector
203991,Clint Capela,2015-16,Rim Runner/Protector
203991,Clint Capela,2019-20,Rim Runner/Protector
1630168,Onyeka Okongwu,2024-25,Post Scorer
1630168,Onyeka Okongwu,2020-21,Rim Runner/Protector
1630168,Onyeka Okongwu,2021-22,Rim Runner/Protector
1630168,Onyeka Okongwu,2022-23,Rim Runner/Protector
1630168,Onyeka Okongwu,2023-24,Rim Runner/Protector
1631243,Mouhamed Gueye,2024-25,3&D
1627777,Georges Niang,2024-25,Movement Shooter
1627777,Georges Niang,2020-21,3&D
1627777,Georges Niang,2021-22,Movement Shooter
1627777,Georges Niang,2022-23,Movement Shooter
1627777,Georges Niang,2023-24,Stretch Big
1627777,Georges Niang,2019-20,Movement Shooter
1626204,Larry Nance Jr.,2018-19,All Around Big
