,star_player,LINEUP_ARCHETYPE,player1_archetype,player2_archetype,player3_archetype,player4_archetype,fg_pct,opp_fg_pct,fta,opp_fta,ast,opp_ast,oreb,opp_oreb,dreb,opp_dreb,tov,opp_tov,stl,opp_stl,blk,opp_blk,pf,opp_pf,min_sum
0,Anthony Edwards,All Around Guard-Rim Runner/Protector-Wing Shot Creator-Wing Shot Creator,All Around Guard,Rim Runner/Protector,Wing Shot Creator,Wing Shot Creator,49.26,45.91,20.79,17.06,26.28,24.9,11.05,10.14,34.31,29.59,14.77,12.57,7.34,8.62,5.38,4.61,16.47,18.67,2106.6
1,Anthony Edwards,Pure Point Guard-Rim Runner/Protector-Shot Creator Guard-Wing Shot Creator,Pure Point Guard,Rim Runner/Protector,Shot Creator Guard,Wing Shot Creator,48.71,45.65,20.82,20.08,26.05,25.83,12.63,12.34,32.49,30.13,13.22,14.78,7.7,6.35,4.94,4.53,20.95,18.84,517.11
2,Anthony Edwards,All Around Guard-Movement Shooter-Rim Runner/Protector-Wing Shot Creator,All Around Guard,Movement Shooter,Rim Runner/Protector,Wing Shot Creator,51.12,44.41,20.96,21.54,26.82,23.93,8.27,10.76,33.84,30.08,15.57,16.25,8.46,9.42,5.19,3.65,18.06,19.89,499.32
3,Anthony Edwards,Movement Shooter-Rim Runner/Protector-Wing Shot Creator-Wing Shot Creator,Movement Shooter,Rim Runner/Protector,Wing Shot Creator,Wing Shot Creator,47.56,46.48,22.35,23.83,22.11,25.8,12.18,10.85,31.37,29.51,13.78,14.17,6.63,7.1,4.13,3.84,18.93,18.63,362.72
4,Anthony Edwards,All Around Guard-Movement Shooter-Wing Shot Creator-Wing Shot Creator,All Around Guard,Movement Shooter,Wing Shot Creator,Wing Shot Creator,50.06,46.82,25.55,25.84,27.43,24.52,8.53,12.01,31.53,31.53,12.31,14.83,7.02,7.21,5.89,4.96,19.24,19.95,327.07
5,Anthony Edwards,Rim Runner/Protector-Shot Creator Guard-Wing Shot Creator-Wing Shot Creator,Rim Runner/Protector,Shot Creator Guard,Wing Shot Creator,Wing Shot Creator,52.4,43.6,22.0,19.7,25.6,22.6,5.5,11.4,34.7,31.7,14.8,15.6,8.9,7.0,5.1,3.2,19.7,17.8,253.1
6,Anthony Edwards,All Around Big-Movement Shooter-Movement Shooter-Pure Point Guard,All Around Big,Movement Shooter,Movement Shooter,Pure Point Guard,47.9,49.81,19.83,26.07,29.28,25.85,8.63,10.79,31.03,37.5,12.71,15.31,9.91,7.1,7.11,3.22,21.31,18.29,222.79
7,Anthony Edwards,Movement Shooter-Rim Runner/Protector-Shot Creator Guard-Wing Shot Creator,Movement Shooter,Rim Runner/Protector,Shot Creator Guard,Wing Shot Creator,49.26,49.39,21.29,26.6,28.18,29.78,10.12,11.45,31.43,31.43,12.22,13.55,7.97,7.71,5.31,4.01,20.78,19.72,180.37
8,Anthony Edwards,3&D-Movement Shooter-Pure Point Guard-Wing Shot Creator,3&D,Movement Shooter,Pure Point Guard,Wing Shot Creator,44.61,43.48,25.01,23.83,24.7,23.82,9.47,11.59,34.2,38.76,14.64,17.71,10.38,8.55,5.51,5.82,19.25,20.46,157.22
9,Anthony Edwards,All Around Big-Shot Creator Guard-Wing Shot Creator-Wing Shot Creator,All Around Big,Shot Creator Guard,Wing Shot Creator,Wing Shot Creator,50.66,48.84,17.92,27.88,29.89,22.89,7.33,9.65,29.2,31.27,17.6,17.25,8.99,8.32,5.97,2.65,24.93,16.95,144.47
10,Anthony Edwards,All Around Big-All Around Guard-Movement Shooter-Pure Point Guard,All Around Big,All Around Guard,Movement Shooter,Pure Point Guard,47.22,45.33,23.26,27.17,26.81,26.44,9.3,10.72,34.31,37.19,12.86,17.16,11.44,5.7,5.73,6.09,22.9,17.52,134.27
11,Anthony Edwards,3&D-All Around Big-Movement Shooter-Shot Creator Guard,3&D,All Around Big,Movement Shooter,Shot Creator Guard,49.29,47.67,19.56,23.58,26.9,29.48,7.38,9.57,34.25,33.54,15.1,14.4,8.84,7.72,3.68,5.16,18.79,15.47,130.27
12,Anthony Edwards,All Around Big-All Around Guard-Movement Shooter-Wing Shot Creator,All Around Big,All Around Guard,Movement Shooter,Wing Shot Creator,48.9,46.74,28.3,29.87,27.52,25.96,7.08,11.4,34.21,37.34,12.57,17.29,9.82,7.85,7.07,3.94,22.78,18.46,122.1
13,Anthony Edwards,All Around Big-All Around Guard-Post Scorer-Wing Shot Creator,All Around Big,All Around Guard,Post Scorer,Wing Shot Creator,43.51,41.16,31.54,27.77,25.43,23.54,9.42,13.18,29.66,37.19,7.54,14.58,7.05,5.66,6.12,3.31,20.22,23.06,102.0
14,Anthony Edwards,All Around Big-Movement Shooter-Post Scorer-Rim Runner/Protector,All Around Big,Movement Shooter,Post Scorer,Rim Runner/Protector,51.8,40.1,34.0,26.2,26.7,19.4,9.7,9.7,36.9,24.7,14.1,17.5,7.8,6.3,6.8,3.4,20.9,21.3,98.94
15,Devin Booker,3&D-Movement Shooter-Post Scorer-Shot Creator Guard,3&D,Movement Shooter,Post Scorer,Shot Creator Guard,51.06,48.0,18.71,21.75,27.06,24.43,8.08,9.14,33.01,32.7,12.0,13.95,7.65,6.8,4.87,2.83,18.45,18.05,902.24
16,Devin Booker,Movement Shooter-Post Scorer-Wing Shot Creator-Wing Shot Creator,Movement Shooter,Post Scorer,Wing Shot Creator,Wing Shot Creator,54.35,49.24,17.79,15.11,32.71,30.89,9.47,8.56,34.62,28.77,13.93,12.2,7.83,7.89,4.02,3.79,15.19,15.61,595.07
