,star_player,LINEUP_ARCHETYPE,player1_archetype,player2_archetype,player3_archetype,player4_archetype,pct_pts_3pt,pct_pts_paint,pct_pts_fb,pct_pts_2pt_mr,pct_ast_fgm,pct_uast_fgm,efg_pct,ts_pct,min_sum
0,Anthony Edwards,All Around Guard-Rim Runner/Protector-Wing Shot Creator-Wing Shot Creator,All Around Guard,Rim Runner/Protector,Wing Shot Creator,Wing Shot Creator,0.3535189393939394,0.44946732954545454,0.1077495265151515,0.05662452651515152,0.623283143939394,0.376716856060606,0.5698754734848485,0.5991950757575758,2112.0
1,Anthony Edwards,Pure Point Guard-Rim Runner/Protector-Shot Creator Guard-Wing Shot Creator,Pure Point Guard,Rim Runner/Protector,Shot Creator Guard,Wing Shot Creator,0.36742994241842614,0.4303992322456814,0.12931285988483684,0.07006142034548944,0.5884817658349327,0.41151823416506716,0.5671708253358924,0.5936468330134357,521.0
2,Anthony Edwards,All Around Guard-Movement Shooter-Rim Runner/Protector-Wing Shot Creator,All Around Guard,Movement Shooter,Rim Runner/Protector,Wing Shot Creator,0.37804651162790703,0.42970155038759694,0.1248313953488372,0.05372480620155038,0.6058217054263566,0.39417829457364345,0.5974302325581395,0.6274224806201552,516.0
3,Anthony Edwards,All Around Guard-Movement Shooter-Wing Shot Creator-Wing Shot Creator,All Around Guard,Movement Shooter,Wing Shot Creator,Wing Shot Creator,0.39847507331378296,0.39851906158357764,0.11931378299120235,0.03819354838709678,0.62758357771261,0.3724721407624633,0.5918563049853373,0.6242228739002932,341.0
4,Anthony Edwards,Rim Runner/Protector-Shot Creator Guard-Wing Shot Creator-Wing Shot Creator,Rim Runner/Protector,Shot Creator Guard,Wing Shot Creator,Wing Shot Creator,0.307,0.469,0.147,0.076,0.595,0.405,0.596,0.6260000000000001,253.0
5,Anthony Edwards,3&D-All Around Big-Movement Shooter-Shot Creator Guard,3&D,All Around Big,Movement Shooter,Shot Creator Guard,0.41177777777777774,0.4357925925925927,0.09955555555555555,0.02222962962962963,0.6076148148148147,0.39238518518518517,0.5985111111111111,0.6336888888888889,135.0
6,Anthony Edwards,All Around Big-All Around Guard-Movement Shooter-Wing Shot Creator,All Around Big,All Around Guard,Movement Shooter,Wing Shot Creator,0.3062740740740741,0.4421555555555556,0.12862962962962965,0.04595555555555555,0.6593851851851851,0.34061481481481487,0.5809703703703702,0.638111111111111,135.0
7,Anthony Edwards,All Around Big-Movement Shooter-Post Scorer-Rim Runner/Protector,All Around Big,Movement Shooter,Post Scorer,Rim Runner/Protector,0.299,0.446,0.06,0.048,0.632,0.36800000000000005,0.592,0.631,99.0
8,Anthony Edwards,All Around Big-All Around Guard-Wing Shot Creator-Wing Shot Creator,All Around Big,All Around Guard,Wing Shot Creator,Wing Shot Creator,0.4455824175824176,0.35648351648351656,0.14732967032967034,0.06762637362637361,0.7252307692307691,0.27476923076923077,0.6368021978021978,0.655065934065934,91.0
9,Anthony Edwards,All Around Big-Pure Point Guard-Rim Runner/Protector-Shot Creator Guard,All Around Big,Pure Point Guard,Rim Runner/Protector,Shot Creator Guard,0.35539325842696634,0.44957303370786517,0.13979775280898873,0.04325842696629214,0.6179101123595505,0.38208988764044943,0.5621123595505618,0.5904943820224718,89.0
10,Anthony Edwards,All Around Big-All Around Guard-Movement Shooter-Post Scorer,All Around Big,All Around Guard,Movement Shooter,Post Scorer,0.4053333333333334,0.38210344827586207,0.13637931034482756,0.04824137931034483,0.7006666666666667,0.2993333333333333,0.5346781609195402,0.5809770114942528,87.0
