ALL_STAR_ID,ALL_STAR_NAME,GROUP_ID,GROUP_NAME,LINEUP_ARCHETYPE,SEASON
203999,Nikola Jokić,203932-203999-1627750-1629008-1631128,A. Gordon - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,Shot Creator Guard-Wing Shot Creator-Wing Shot Creator-Wing Shot Creator,2024-25
203999,Nikola Jokić,201566-203999-1627750-1629008-1631128,R. Westbrook - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,Shot Creator Guard-Wing Shot Creator-Wing Shot Creator-Wing Shot Creator,2024-25
203999,Nikola Jokić,203999-1627750-1629008-1631128-1631212,N. Jokić - J. Murray - M. Porter Jr. - C. Braun - P. Watson,Movement Shooter-Shot Creator Guard-Wing Shot Creator-Wing Shot Creator,2024-25
203999,Nikola Jokić,201566-203932-203999-1629008-1631128,R. Westbrook - A. Gordon - N. Jokić - M. Porter Jr. - C. Braun,Wing Shot Creator-Wing Shot Creator-Wing Shot Creator-Wing Shot Creator,2024-25
203999,Nikola Jokić,201566-203999-1629008-1631128-1631212,R. Westbrook - N. Jokić - M. Porter Jr. - C. Braun - P. Watson,Movement Shooter-Wing Shot Creator-Wing Shot Creator-Wing Shot Creator,2024-25
203999,Nikola Jokić,201566-203932-203999-1627750-1629008,R. Westbrook - A. Gordon - N. Jokić - J. Murray - M. Porter Jr.,Shot Creator Guard-Wing Shot Creator-Wing Shot Creator-Wing Shot Creator,2024-25
203999,Nikola Jokić,201566-203999-1629008-1631124-1631128,R. Westbrook - N. Jokić - M. Porter Jr. - J. Strawther - C. Braun,Movement Shooter-Wing Shot Creator-Wing Shot Creator-Wing Shot Creator,2024-25
203999,Nikola Jokić,203932-203999-1627750-1631124-1631128,A. Gordon - N. Jokić - J. Murray - J. Strawther - C. Braun,Movement Shooter-Shot Creator Guard-Wing Shot Creator-Wing Shot Creator,2024-25
203999,Nikola Jokić,203932-203999-1629008-1629618-1631128,A. Gordon - N. Jokić - M. Porter Jr. - J. Pickett - C. Braun,All Around Guard-Wing Shot Creator-Wing Shot Creator-Wing Shot Creator,2024-25
203999,Nikola Jokić,201566-203932-203999-1631128-1631212,R. Westbrook - A. Gordon - N. Jokić - C. Braun - P. Watson,Movement Shooter-Wing Shot Creator-Wing Shot Creator-Wing Shot Creator,2024-25
203999,Nikola Jokić,201566-203999-1627750-1629008-1631212,R. Westbrook - N. Jokić - J. Murray - M. Porter Jr. - P. Watson,Movement Shooter-Shot Creator Guard-Wing Shot Creator-Wing Shot Creator,2024-25
203999,Nikola Jokić,201566-203999-1631124-1631128-1631212,R. Westbrook - N. Jokić - J. Strawther - C. Braun - P. Watson,Movement Shooter-Movement Shooter-Wing Shot Creator-Wing Shot Creator,2024-25
203999,Nikola Jokić,201566-203932-203999-1627750-1631128,R. Westbrook - A. Gordon - N. Jokić - J. Murray - C. Braun,Shot Creator Guard-Wing Shot Creator-Wing Shot Creator-Wing Shot Creator,2024-25
203999,Nikola Jokić,203999-1627750-1629008-1630192-1631128,N. Jokić - J. Murray - M. Porter Jr. - Z. Nnaji - C. Braun,Rim Runner/Protector-Shot Creator Guard-Wing Shot Creator-Wing Shot Creator,2024-25
203999,Nikola Jokić,203932-203999-1629008-1631128-1631212,A. Gordon - N. Jokić - M. Porter Jr. - C. Braun - P. Watson,Movement Shooter-Wing Shot Creator-Wing Shot Creator-Wing Shot Creator,2024-25
