PLAYER_ID,PLAYER,Height,Weight,Position,Draft Year,CURRENT_TEAM
203999,Nikola Jokić,6-11,284.0,Center,2014,Denver Nuggets
201939,Stephen Curry,6-2,185.0,Guard,2009,Golden State Warriors
201935,James Harden,6-5,220.0,Guard,2009,Los Angeles Clippers
202695,Kawhi Leonard,6-6,225.0,Forward,2011,Los Angeles Clippers
2544,LeBron James,6-9,250.0,Forward,2003,Los Angeles Lakers
1629029,Luka Dončić,6-8,230.0,Forward-Guard,2018,Los Angeles Lakers
203507,Giannis Antetokounmpo,6-11,243.0,Forward,2013,Milwaukee Bucks
1630162,Anthony Edwards,6-4,225.0,Guard,2020,Minnesota Timberwolves
1626164,Devin Booker,6-5,206.0,Guard,2015,Phoenix Suns
201142,Kevin Durant,6-11,240.0,Forward,2007,Houston Rockets
1628983,Shai Gilgeous-Alexander,6-6,195.0,Guard,2018,Oklahoma City Thunder
