star_player,player1_archetype,player2_archetype,player3_archetype,player4_archetype,offensive_rating,defensive_rating,net_rating,min_sum
Anthony Edwards,All Around Guard,Rim Runner/Protector,Wing Shot Creator,Wing Shot Creator,115.58245862884161,108.92685579196217,6.639101654846336,2115.0
Anthony Edwards,Pure Point Guard,Rim Runner/Protector,Shot Creator Guard,Wing Shot Creator,119.88291746641075,108.1502879078695,11.738963531669867,521.0
Anthony Edwards,All Around Guard,Movement Shooter,Rim Runner/Protector,Wing Shot Creator,112.70693641618497,101.93391136801542,10.798651252408478,519.0
Anthony Edwards,3&D,All Around Big,Movement Shooter,Pure Point Guard,103.71674757281554,111.3497572815534,-7.637864077669903,412.0
Anthony Edwards,All Around Big,All Around Guard,Rim Runner/Protector,Wing Shot Creator,103.92533692722373,102.5,1.4272237196765498,371.0
Anthony Edwards,Movement Shooter,Rim Runner/Protector,Wing Shot Creator,Wing Shot Creator,113.67950819672133,108.06448087431694,5.627322404371585,366.0
Anthony Edwards,All Around Guard,Movement Shooter,Wing Shot Creator,Wing Shot Creator,116.7406976744186,108.66453488372093,8.146511627906976,344.0
Anthony Edwards,All Around Big,Movement Shooter,Pure Point Guard,Rim Runner/Protector,107.83926380368098,108.02269938650308,-0.15889570552147209,326.0
Anthony Edwards,All Around Big,Rim Runner/Protector,Shot Creator Guard,Wing Shot Creator,106.65457516339869,105.6781045751634,0.9764705882352943,306.0
Anthony Edwards,Rim Runner/Protector,Shot Creator Guard,Wing Shot Creator,Wing Shot Creator,114.6,101.7,12.9,253.0
Anthony Edwards,All Around Big,Movement Shooter,Movement Shooter,Pure Point Guard,115.21121076233185,112.20538116591929,2.9874439461883413,223.0
Anthony Edwards,All Around Guard,Wing Shot Creator,Wing Shot Creator,Wing Shot Creator,108.12844036697248,109.32981651376147,-1.2013761467889907,218.0
Anthony Edwards,3&D,Rim Runner/Protector,Shot Creator Guard,Wing Shot Creator,110.10208333333333,115.64739583333333,-5.64375,192.0
Anthony Edwards,Movement Shooter,Rim Runner/Protector,Shot Creator Guard,Wing Shot Creator,120.07195767195766,116.58042328042329,3.48095238095238,189.0
Anthony Edwards,Movement Shooter,Pure Point Guard,Rim Runner/Protector,Wing Shot Creator,109.39836065573769,111.75737704918032,-2.33879781420765,183.0
Anthony Edwards,All Around Big,Movement Shooter,Post Scorer,Wing Shot Creator,106.06480446927374,112.90223463687151,-6.837430167597766,179.0
Anthony Edwards,All Around Guard,Post Scorer,Rim Runner/Protector,Wing Shot Creator,100.14157303370787,104.14494382022471,-4.003370786516854,178.0
Anthony Edwards,3&D,Movement Shooter,Shot Creator Guard,Wing Shot Creator,109.64576271186442,110.07740112994351,-0.3711864406779654,177.0
Anthony Edwards,3&D,Movement Shooter,Pure Point Guard,Wing Shot Creator,107.2751592356688,95.6515923566879,11.62356687898089,157.0
Anthony Edwards,All Around Big,Shot Creator Guard,Wing Shot Creator,Wing Shot Creator,112.54583333333333,109.71111111111111,2.8347222222222226,144.0
Anthony Edwards,All Around Big,All Around Guard,Movement Shooter,Pure Point Guard,107.58661971830985,104.81830985915494,2.7809859154929586,142.0
Anthony Edwards,3&D,All Around Big,Movement Shooter,Shot Creator Guard,114.93478260869566,106.27753623188407,8.653623188405797,138.0
Anthony Edwards,All Around Big,All Around Guard,Movement Shooter,Wing Shot Creator,113.76074074074074,105.46074074074075,8.27111111111111,135.0
Anthony Edwards,All Around Guard,All Around Guard,Rim Runner/Protector,Wing Shot Creator,106.85203252032521,109.22926829268293,-2.335772357723578,123.0
Anthony Edwards,All Around Guard,Rim Runner/Protector,Shot Creator Guard,Wing Shot Creator,108.30973451327434,117.4079646017699,-9.123893805309734,113.0
Anthony Edwards,All Around Big,Movement Shooter,Pure Point Guard,Shot Creator Guard,111.34594594594594,127.65945945945946,-16.306306306306308,111.0
Anthony Edwards,3&D,Movement Shooter,Rim Runner/Protector,Shot Creator Guard,105.265,111.086,-5.795,100.0
Anthony Edwards,All Around Big,All Around Guard,Post Scorer,Wing Shot Creator,109.18,96.96700000000001,12.219000000000001,100.0
Anthony Edwards,All Around Big,Movement Shooter,Post Scorer,Rim Runner/Protector,117.29999999999998,86.4,30.9,99.0
Anthony Edwards,3&D,All Around Big,Pure Point Guard,Rim Runner/Protector,111.30425531914894,98.58829787234043,12.78404255319149,94.0
Anthony Edwards,All Around Big,All Around Guard,Wing Shot Creator,Wing Shot Creator,123.20659340659341,119.38901098901098,3.8076923076923084,91.0
Anthony Edwards,All Around Big,Pure Point Guard,Rim Runner/Protector,Shot Creator Guard,117.62134831460675,88.44943820224718,29.10112359550562,89.0
Anthony Edwards,Movement Shooter,Pure Point Guard,Rim Runner/Protector,Stretch Big,109.06292134831459,101.0123595505618,8.05056179775281,89.0
Anthony Edwards,All Around Big,All Around Guard,Movement Shooter,Post Scorer,108.60000000000001,97.9816091954023,10.564367816091954,87.0
Anthony Edwards,3&D,Pure Point Guard,Shot Creator Guard,Wing Shot Creator,115.4139534883721,111.82906976744188,3.5848837209302316,86.0
Anthony Edwards,3&D,Movement Shooter,Pure Point Guard,Rim Runner/Protector,115.51176470588236,89.12588235294118,26.385882352941177,85.0
Anthony Edwards,Movement Shooter,Wing Shot Creator,Wing Shot Creator,Wing Shot Creator,109.1,112.7,-3.5,78.0
Anthony Edwards,All Around Big,All Around Guard,Shot Creator Guard,Wing Shot Creator,114.73116883116882,138.8792207792208,-24.16103896103896,77.0
Anthony Edwards,3&D,Movement Shooter,Wing Shot Creator,Wing Shot Creator,109.00724637681158,97.95217391304348,11.076811594202898,69.0
Anthony Edwards,Movement Shooter,Movement Shooter,Pure Point Guard,Rim Runner/Protector,94.9550724637681,117.71739130434783,-22.76231884057971,69.0
Anthony Edwards,3&D,All Around Guard,Movement Shooter,Wing Shot Creator,111.77878787878787,114.84545454545454,-3.0727272727272736,66.0
Anthony Edwards,All Around Big,All Around Guard,Pure Point Guard,Wing Shot Creator,111.29848484848485,101.12878787878788,10.169696969696968,66.0
Anthony Edwards,3&D,Pure Point Guard,Rim Runner/Protector,Wing Shot Creator,110.446875,93.721875,16.825,64.0
Anthony Edwards,All Around Big,Movement Shooter,Rim Runner/Protector,Wing Shot Creator,93.6,88.3,5.3,64.0
Anthony Edwards,3&D,All Around Guard,Wing Shot Creator,Wing Shot Creator,116.01428571428572,126.89464285714284,-10.891071428571426,56.0
Anthony Edwards,All Around Guard,Movement Shooter,Post Scorer,Rim Runner/Protector,115.94285714285715,104.49642857142858,11.457142857142856,56.0
Anthony Edwards,Movement Shooter,Pure Point Guard,Shot Creator Guard,Wing Shot Creator,122.12857142857145,127.38571428571429,-5.257142857142857,56.0
Anthony Edwards,All Around Big,Movement Shooter,Shot Creator Guard,Wing Shot Creator,109.88148148148147,119.9925925925926,-10.14074074074074,54.0
Anthony Edwards,Movement Shooter,Post Scorer,Rim Runner/Protector,Wing Shot Creator,86.52222222222223,120.78888888888889,-34.266666666666666,54.0
Anthony Edwards,3&D,Movement Shooter,Pure Point Guard,Stretch Big,95.9188679245283,106.4188679245283,-10.500000000000002,53.0
Anthony Edwards,3&D,Movement Shooter,Shot Creator Guard,Stretch Big,85.72075471698113,90.22452830188679,-4.462264150943396,53.0
Anthony Edwards,All Around Guard,Movement Shooter,Post Scorer,Wing Shot Creator,122.71320754716982,98.03018867924528,24.735849056603772,53.0
Anthony Edwards,Movement Shooter,Rim Runner/Protector,Shot Creator Guard,Stretch Big,102.5622641509434,105.8377358490566,-3.2754716981132073,53.0
Anthony Edwards,All Around Big,All Around Guard,Post Scorer,Rim Runner/Protector,110.41428571428571,95.88163265306122,14.532653061224488,49.0
Anthony Edwards,All Around Big,Pure Point Guard,Shot Creator Guard,Wing Shot Creator,106.28333333333335,111.46041666666667,-5.15625,48.0
Anthony Edwards,3&D,All Around Big,All Around Guard,Movement Shooter,110.47608695652173,110.6086956521739,-0.1326086956521744,46.0
Anthony Edwards,3&D,Movement Shooter,Rim Runner/Protector,Wing Shot Creator,124.73260869565219,105.58478260869565,19.113043478260867,46.0
