PLAYER_ID,PLAYER,SEASON,Height,Weight,Position,Draft Year
1631210,Jacob Toppin,2024-25,6-9,200,Forward,Undrafted
1631210,Jacob Toppin,2023-24,6-9,200,Forward,Undrafted
1630552,Jalen Johnson,2024-25,6-8,219,Forward,2021
1630552,Jalen Johnson,2023-24,6-8,219,Forward,2021
1630552,Jalen Johnson,2021-22,6-8,219,Forward,2021
1630552,Jalen Johnson,2022-23,6-8,219,Forward,2021
1630811,Keaton Wallace,2024-25,6-3,185,Guard,Undrafted
1627747,Caris LeVert,2018-19,6-7,205,Guard,2016
1627747,Caris LeVert,2024-25,6-7,205,Guard,2016
1627747,Caris LeVert,2016-17,6-7,205,Guard,2016
1627747,Caris LeVert,2020-21,6-7,205,Guard,2016
1627747,Caris LeVert,2021-22,6-7,205,Guard,2016
1627747,Caris LeVert,2017-18,6-7,205,Guard,2016
1627747,Caris LeVert,2022-23,6-7,205,Guard,2016
1627747,Caris LeVert,2023-24,6-7,205,Guard,2016
1627747,Caris LeVert,2019-20,6-7,205,Guard,2016
1641723,Kobe Bufkin,2024-25,6-4,195,Guard,2023
1641723,Kobe Bufkin,2023-24,6-4,195,Guard,2023
1630700,Dyson Daniels,2024-25,6-7,199,Guard,2022
1630700,Dyson Daniels,2023-24,6-7,199,Guard,2022
1630700,Dyson Daniels,2022-23,6-7,199,Guard,2022
1642258,Zaccharie Risacher,2024-25,6-8,200,Forward,2024
1629027,Trae Young,2018-19,6-2,164,Guard,2018
1629027,Trae Young,2024-25,6-2,164,Guard,2018
1629027,Trae Young,2020-21,6-2,164,Guard,2018
1629027,Trae Young,2021-22,6-2,164,Guard,2018
1629027,Trae Young,2022-23,6-2,164,Guard,2018
1629027,Trae Young,2023-24,6-2,164,Guard,2018
1629027,Trae Young,2019-20,6-2,164,Guard,2018
1629611,Terance Mann,2024-25,6-6,215,Guard-Forward,2019
1629611,Terance Mann,2020-21,6-6,215,Guard-Forward,2019
1629611,Terance Mann,2021-22,6-6,215,Guard-Forward,2019
1629611,Terance Mann,2022-23,6-6,215,Guard-Forward,2019
1629611,Terance Mann,2023-24,6-6,215,Guard-Forward,2019
1629611,Terance Mann,2019-20,6-6,215,Guard-Forward,2019
203991,Clint Capela,2018-19,6-10,256,Center,2014
203991,Clint Capela,2024-25,6-10,256,Center,2014
203991,Clint Capela,2016-17,6-10,256,Center,2014
203991,Clint Capela,2020-21,6-10,256,Center,2014
203991,Clint Capela,2021-22,6-10,256,Center,2014
203991,Clint Capela,2017-18,6-10,256,Center,2014
203991,Clint Capela,2022-23,6-10,256,Center,2014
203991,Clint Capela,2023-24,6-10,256,Center,2014
203991,Clint Capela,2015-16,6-10,256,Center,2014
203991,Clint Capela,2019-20,6-10,256,Center,2014
1630168,Onyeka Okongwu,2024-25,6-10,240,Forward-Center,2020
1630168,Onyeka Okongwu,2020-21,6-10,240,Forward-Center,2020
1630168,Onyeka Okongwu,2021-22,6-10,240,Forward-Center,2020
1630168,Onyeka Okongwu,2022-23,6-10,240,Forward-Center,2020
1630168,Onyeka Okongwu,2023-24,6-10,240,Forward-Center,2020
1631243,Mouhamed Gueye,2024-25,6-11,210,Forward,2023
1631243,Mouhamed Gueye,2023-24,6-11,210,Forward,2023
1627777,Georges Niang,2018-19,6-6,230,Forward,2016
1627777,Georges Niang,2024-25,6-6,230,Forward,2016
1627777,Georges Niang,2016-17,6-6,230,Forward,2016
1627777,Georges Niang,2020-21,6-6,230,Forward,2016
1627777,Georges Niang,2021-22,6-6,230,Forward,2016
1627777,Georges Niang,2017-18,6-6,230,Forward,2016
1627777,Georges Niang,2022-23,6-6,230,Forward,2016
1627777,Georges Niang,2023-24,6-6,230,Forward,2016
1627777,Georges Niang,2019-20,6-6,230,Forward,2016
1626204,Larry Nance Jr.,2018-19,6-6,245,Forward-Center,2015
1626204,Larry Nance Jr.,2024-25,6-6,245,Forward-Center,2015
1626204,Larry Nance Jr.,2016-17,6-6,245,Forward-Center,2015
1626204,Larry Nance Jr.,2020-21,6-6,245,Forward-Center,2015
1626204,Larry Nance Jr.,2021-22,6-6,245,Forward-Center,2015
1626204,Larry Nance Jr.,2017-18,6-6,245,Forward-Center,2015
1626204,Larry Nance Jr.,2022-23,6-6,245,Forward-Center,2015
1626204,Larry Nance Jr.,2023-24,6-6,245,Forward-Center,2015
1626204,Larry Nance Jr.,2015-16,6-6,245,Forward-Center,2015
1626204,Larry Nance Jr.,2019-20,6-6,245,Forward-Center,2015
1629726,Garrison Mathews,2024-25,6-6,215,Guard,Undrafted
1629726,Garrison Mathews,2020-21,6-6,215,Guard,Undrafted
1629726,Garrison Mathews,2021-22,6-6,215,Guard,Undrafted
1629726,Garrison Mathews,2022-23,6-6,215,Guard,Undrafted
1629726,Garrison Mathews,2023-24,6-6,215,Guard,Undrafted
1629726,Garrison Mathews,2019-20,6-6,215,Guard,Undrafted
1631230,Dominick Barlow,2024-25,6-9,215,Forward,Undrafted
1631230,Dominick Barlow,2023-24,6-9,215,Forward,Undrafted
1631230,Dominick Barlow,2022-23,6-9,215,Forward,Undrafted
1630249,Vít Krejčí,2024-25,6-8,195,Guard,2020
1630249,Vít Krejčí,2023-24,6-8,195,Guard,2020
1630249,Vít Krejčí,2021-22,6-8,195,Guard,2020
1630249,Vít Krejčí,2022-23,6-8,195,Guard,2020
1631342,Daeqwon Plowden,2024-25,6-4,216,Guard-Forward,Undrafted
1628369,Jayson Tatum,2018-19,6-8,210,Forward-Guard,2017
1628369,Jayson Tatum,2024-25,6-8,210,Forward-Guard,2017
1628369,Jayson Tatum,2020-21,6-8,210,Forward-Guard,2017
1628369,Jayson Tatum,2021-22,6-8,210,Forward-Guard,2017
1628369,Jayson Tatum,2017-18,6-8,210,Forward-Guard,2017
1628369,Jayson Tatum,2022-23,6-8,210,Forward-Guard,2017
1628369,Jayson Tatum,2023-24,6-8,210,Forward-Guard,2017
1628369,Jayson Tatum,2019-20,6-8,210,Forward-Guard,2017
1641936,Miles Norris,2024-25,6-7,220,Forward,Undrafted
201950,Jrue Holiday,2018-19,6-4,220,Guard,2009
201950,Jrue Holiday,2024-25,6-4,220,Guard,2009
201950,Jrue Holiday,2016-17,6-4,220,Guard,2009
201950,Jrue Holiday,2020-21,6-4,220,Guard,2009
201950,Jrue Holiday,2021-22,6-4,220,Guard,2009
201950,Jrue Holiday,2017-18,6-4,220,Guard,2009
201950,Jrue Holiday,2022-23,6-4,220,Guard,2009
201950,Jrue Holiday,2023-24,6-4,220,Guard,2009
201950,Jrue Holiday,2015-16,6-4,220,Guard,2009
201950,Jrue Holiday,2019-20,6-4,220,Guard,2009
1627759,Jaylen Brown,2018-19,6-6,223,Guard-Forward,2016
1627759,Jaylen Brown,2024-25,6-6,223,Guard-Forward,2016
1627759,Jaylen Brown,2016-17,6-6,223,Guard-Forward,2016
1627759,Jaylen Brown,2020-21,6-6,223,Guard-Forward,2016
1627759,Jaylen Brown,2021-22,6-6,223,Guard-Forward,2016
1627759,Jaylen Brown,2017-18,6-6,223,Guard-Forward,2016
1627759,Jaylen Brown,2022-23,6-6,223,Guard-Forward,2016
1627759,Jaylen Brown,2023-24,6-6,223,Guard-Forward,2016
1627759,Jaylen Brown,2019-20,6-6,223,Guard-Forward,2016
204001,Kristaps Porziņģis,2024-25,7-2,240,Forward-Center,2015
204001,Kristaps Porziņģis,2016-17,7-2,240,Forward-Center,2015
204001,Kristaps Porziņģis,2020-21,7-2,240,Forward-Center,2015
204001,Kristaps Porziņģis,2021-22,7-2,240,Forward-Center,2015
204001,Kristaps Porziņģis,2017-18,7-2,240,Forward-Center,2015
204001,Kristaps Porziņģis,2022-23,7-2,240,Forward-Center,2015
204001,Kristaps Porziņģis,2023-24,7-2,240,Forward-Center,2015
204001,Kristaps Porziņģis,2015-16,7-2,240,Forward-Center,2015
204001,Kristaps Porziņģis,2019-20,7-2,240,Forward-Center,2015
1628401,Derrick White,2018-19,6-4,190,Guard,2017
1628401,Derrick White,2024-25,6-4,190,Guard,2017
1628401,Derrick White,2020-21,6-4,190,Guard,2017
1628401,Derrick White,2021-22,6-4,190,Guard,2017
1628401,Derrick White,2017-18,6-4,190,Guard,2017
1628401,Derrick White,2022-23,6-4,190,Guard,2017
1628401,Derrick White,2023-24,6-4,190,Guard,2017
1628401,Derrick White,2019-20,6-4,190,Guard,2017
1630202,Payton Pritchard,2024-25,6-1,195,Guard,2020
1630202,Payton Pritchard,2020-21,6-1,195,Guard,2020
1630202,Payton Pritchard,2021-22,6-1,195,Guard,2020
1630202,Payton Pritchard,2022-23,6-1,195,Guard,2020
1630202,Payton Pritchard,2023-24,6-1,195,Guard,2020
1628470,Torrey Craig,2018-19,6-5,221,Forward,Undrafted
1628470,Torrey Craig,2024-25,6-5,221,Forward,Undrafted
1628470,Torrey Craig,2020-21,6-5,221,Forward,Undrafted
1628470,Torrey Craig,2021-22,6-5,221,Forward,Undrafted
1628470,Torrey Craig,2017-18,6-5,221,Forward,Undrafted
1628470,Torrey Craig,2022-23,6-5,221,Forward,Undrafted
1628470,Torrey Craig,2023-24,6-5,221,Forward,Undrafted
1628470,Torrey Craig,2019-20,6-5,221,Forward,Undrafted
1641809,Drew Peterson,2024-25,6-8,205,Forward,Undrafted
1641809,Drew Peterson,2023-24,6-8,205,Forward,Undrafted
1631120,JD Davison,2024-25,6-1,195,Guard,2022
1631120,JD Davison,2023-24,6-1,195,Guard,2022
1631120,JD Davison,2022-23,6-1,195,Guard,2022
1630214,Xavier Tillman,2024-25,6-8,245,Forward,2020
1630214,Xavier Tillman,2020-21,6-8,245,Forward,2020
1630214,Xavier Tillman,2021-22,6-8,245,Forward,2020
1630214,Xavier Tillman,2022-23,6-8,245,Forward,2020
1630214,Xavier Tillman,2023-24,6-8,245,Forward,2020
1641775,Jordan Walsh,2024-25,6-6,205,Guard,2023
1641775,Jordan Walsh,2023-24,6-6,205,Guard,2023
1630573,Sam Hauser,2024-25,6-7,217,Forward,Undrafted
1630573,Sam Hauser,2023-24,6-7,217,Forward,Undrafted
1630573,Sam Hauser,2021-22,6-7,217,Forward,Undrafted
1630573,Sam Hauser,2022-23,6-7,217,Forward,Undrafted
1628436,Luke Kornet,2018-19,7-1,250,Center-Forward,Undrafted
