"('OVERALL', 'REB')","('OVERALL', 'OREB')","('OVERALL', 'DREB')","('OVERALL', 'REB_CONTESTED')","('OVERALL', 'REB_UNCONTESTED')","('0 Contesting Rebounders', 'REB')","('0 Contesting Rebounders', 'OREB')","('0 Contesting Rebounders', 'DREB')","('0 Contesting Rebounders', 'REB_FREQ')","('1 Contesting Rebounder', 'REB')","('1 Contesting Rebounder', 'OREB')","('1 Contesting Rebounder', 'DREB')","('1 Contesting Rebounder', 'REB_FREQ')","('2+ Contesting Rebounders', 'REB')","('2+ Contesting Rebounders', 'OREB')","('2+ Contesting Rebounders', 'DREB')","('2+ Contesting Rebounders', 'REB_FREQ')","('0-3 Feet', 'REB')","('0-3 Feet', 'OREB')","('0-3 Feet', 'DREB')","('0-3 Feet', 'REB_FREQ')","('3-6 Feet', 'REB')","('3-6 Feet', 'OREB')","('3-6 Feet', 'DREB')","('3-6 Feet', 'REB_FREQ')",PLAYER_ID,SEASON,TEAM_ID,"('6-10 Feet', 'REB')","('6-10 Feet', 'OREB')","('6-10 Feet', 'DREB')","('6-10 Feet', 'REB_FREQ')","('10+ Feet', 'REB')","('10+ Feet', 'OREB')","('10+ Feet', 'DREB')","('10+ Feet', 'REB_FREQ')"
4,1,3,2,2,2.0,0.0,2.0,0.5,1.0,0.0,1.0,0.25,1.0,1.0,0.0,0.25,1.0,0.0,1.0,0.25,3.0,1.0,2.0,0.75,1631210,2024-25,1610612737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2,9,4,7,7.0,1.0,6.0,0.636,4.0,1.0,3.0,0.364,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.273,5.0,0.0,5.0,0.455,1631210,2024-25,1610612752,3.0,1.0,2.0,0.273,0.0,0.0,0.0,0.0
7,3,4,3,4,4.0,2.0,2.0,0.571,3.0,1.0,2.0,0.429,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.571,2.0,0.0,2.0,0.286,1631210,2023-24,1610612752,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.143
354,61,293,94,260,260.0,34.0,226.0,0.734,83.0,20.0,63.0,0.234,11.0,7.0,4.0,0.031,105.0,22.0,83.0,0.297,156.0,16.0,140.0,0.441,1630552,2024-25,1610612737,65.0,12.0,53.0,0.184,28.0,11.0,17.0,0.079
475,73,402,133,342,342.0,41.0,301.0,0.72,116.0,24.0,92.0,0.244,17.0,8.0,9.0,0.036,136.0,23.0,113.0,0.286,207.0,19.0,188.0,0.436,1630552,2023-24,1610612737,79.0,10.0,69.0,0.166,53.0,21.0,32.0,0.112
26,2,24,8,18,18.0,1.0,17.0,0.692,7.0,1.0,6.0,0.269,1.0,0.0,1.0,0.038,10.0,0.0,10.0,0.385,12.0,1.0,11.0,0.462,1630552,2021-22,1610612737,3.0,0.0,3.0,0.115,1.0,1.0,0.0,0.038
281,51,230,91,190,190.0,18.0,172.0,0.676,84.0,29.0,55.0,0.299,7.0,4.0,3.0,0.025,83.0,19.0,64.0,0.295,126.0,13.0,113.0,0.448,1630552,2022-23,1610612737,51.0,9.0,42.0,0.181,21.0,10.0,11.0,0.075
50,7,43,12,38,38.0,5.0,33.0,0.76,12.0,2.0,10.0,0.24,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.14,11.0,2.0,9.0,0.22,1630811,2024-25,1610612737,21.0,2.0,19.0,0.42,11.0,3.0,8.0,0.22
150,34,116,38,112,112.0,18.0,94.0,0.747,34.0,13.0,21.0,0.227,4.0,3.0,1.0,0.027,27.0,7.0,20.0,0.18,43.0,8.0,35.0,0.287,1627747,2018-19,1610612751,38.0,8.0,30.0,0.253,42.0,11.0,31.0,0.28
96,19,77,30,66,66.0,9.0,57.0,0.688,25.0,6.0,19.0,0.26,5.0,4.0,1.0,0.052,18.0,3.0,15.0,0.188,28.0,5.0,23.0,0.292,1627747,2024-25,1610612737,22.0,3.0,19.0,0.229,28.0,8.0,20.0,0.292
105,22,83,30,75,75.0,12.0,63.0,0.714,27.0,8.0,19.0,0.257,3.0,2.0,1.0,0.029,9.0,1.0,8.0,0.086,36.0,8.0,28.0,0.343,1627747,2024-25,1610612739,35.0,2.0,33.0,0.333,25.0,11.0,14.0,0.238
185,21,164,32,153,153.0,12.0,141.0,0.827,29.0,7.0,22.0,0.157,3.0,2.0,1.0,0.016,38.0,5.0,33.0,0.205,64.0,1.0,63.0,0.346,1627747,2016-17,1610612751,44.0,3.0,41.0,0.238,38.0,12.0,26.0,0.205
