,PLAYER_ID,PLAYER
0,1631210,Jacob Toppin
1,1630552,Jalen Johnson
2,1630811,Keaton Wallace
4,1641723,Kobe Bufkin
5,1630700,Dyson Daniels
6,1642258,Zaccharie Risacher
7,1629027,Trae Young
10,1630168,Onyeka Okongwu
11,1631243,Mouhamed Gueye
14,1629726,Garrison Mathews
15,1631230,Dominick Barlow
17,1631342,Daeqwon Plowden
18,1628369,Jayson Tatum
19,1641936,Miles Norris
21,1627759,Jaylen Brown
23,1628401,Derrick White
24,1630202,Payton Pritchard
26,1641809,Drew Peterson
27,1631120,JD Davison
28,1630214,Xavier Tillman
29,1641775,Jordan Walsh
30,1630573,Sam Hauser
31,1628436,Luke Kornet
33,1631248,Baylor Scheierman
34,1629674,Neemias Queta
35,1629622,Max Strus
37,1630596,Evan Mobley
39,1629750,Javonte Green
40,1641854,Craig Porter Jr.
41,1629636,Darius Garland
42,1629631,De'Andre Hunter
44,1629643,Chuma Okeke
45,1641734,Emoni Bates
46,1642281,Jaylon Tyson
47,1641772,Nae'Qwan Tomlin
49,1629731,Dean Wade
50,1631247,Luke Travers
51,1630171,Isaac Okoro
52,1628378,Donovan Mitchell
53,1631232,Keion Brooks Jr.
55,1629627,Zion Williamson
56,1630529,Herbert Jones
57,203468,CJ McCollum
60,1631288,Jamal Cain
62,1641810,Antonio Reeves
63,203482,Kelly Olynyk
64,1630631,Jose Alvarado
65,1631255,Karlo Matković
66,1642274,Yves Missi
68,1641722,Jordan Hawkins
69,1630530,Trey Murphy III
71,1629632,Coby White
76,202696,Nikola Vučević
77,1630245,Ayo Dosunmu
78,1642443,Jahmir Young
79,1628380,Zach Collins
80,1628989,Kevin Huerter
81,1641824,Matas Buzelis
82,1641763,Julian Phillips
83,1641801,Emanuel Miller
85,1631207,Dalen Terry
86,1630200,Tre Jones
87,1630604,E.J. Liddell
88,1630172,Patrick Williams
96,1630314,Brandon Williams
99,1628997,Caleb Martin
114,1641790,PJ Hall
115,1641747,DaRon Holmes II
126,1642379,Taran Armstrong
132,1630296,Braxton Key
142,1641708,Amen Thompson
144,1642368,N'Faly Dante
145,1630224,Jalen Green
147,1641715,Cam Whitmore
149,1628415,Dillon Brooks
150,1631095,Jabari Smith Jr.
152,1642263,Reed Sheppard
153,1631106,Tari Eason
154,1631466,Nate Williams
155,1630578,Alperen Sengun
158,1629098,Jack McVeigh
161,1641754,Seth Lundy
164,1642280,Trentyn Flowers
180,1642355,Bronny James
194,1641815,Isaiah Stevens
195,1626179,Terry Rozier
196,1631107,Nikola Jović
197,1642276,Kel'el Ware
198,1630528,Josh Christopher
199,1641796,Pelle Larsson
200,1631170,Jaime Jaquez Jr.
201,1630696,Dru Smith
202,1628389,Bam Adebayo
203,1629639,Tyler Herro
204,1642352,Keshad Johnson
208,1629312,Haywood Highsmith
210,1630558,Davion Mitchell
211,1629130,Duncan Robinson
221,1631123,Jamaree Bouyea
222,1630649,Stanley Umude
225,1641890,Tyler Smith
228,1631250,Pete Nance
240,1641803,Tristen Newton
241,1642399,Jesse Edwards
245,1631159,Leonard Miller
248,1641727,Dariq Whitehead
251,1641736,Reece Beekman
252,1630533,Ziaire Williams
253,1630570,Trendon Watford
254,1630623,Tyson Etienne
255,1641787,Tosan Evbuomwan
256,1631213,Tyrese Martin
259,1641730,Noah Clowney
260,1630592,Jalen Wilson
262,1631166,Drew Timme
263,1641721,Maxwell Lewis
265,1630553,Keon Johnson
270,1630540,Miles McBride
272,1642359,Pacôme Dadiet
273,1630173,Precious Achiuwa
275,1641755,Kevin McCullar Jr.
277,1642278,Tyler Kolek
278,1629011,Mitchell Robinson
280,1641817,Anton Watson
283,1630574,Ariel Hukporti
284,1641710,Anthony Black
285,1628371,Jonathan Isaac
286,1631216,Caleb Houstan
287,1630217,Desmond Bane
288,1630591,Jalen Suggs
289,1631094,Paolo Banchero
290,1630644,Mac McClung
292,1630243,Trevelin Queen
293,1641724,Jett Howard
296,1630532,Franz Wagner
297,1641783,Tristan da Silva
298,1628976,Wendell Carter Jr.
299,1629048,Goga Bitadze
300,1630679,Ethan Thompson
301,1630169,Tyrese Haliburton
302,1631097,Bennedict Mathurin
303,1630167,Obi Toppin
304,1629614,Andrew Nembhard
306,1641716,Jarace Walker
307,1642402,Enrique Freeman
308,204456,T.J. McConnell
309,1642484,RayJ Dennis
310,1642277,Johnny Furphy
311,1628396,Tony Bradley
313,1630543,Isaiah Jackson
314,1630174,Aaron Nesmith
315,1641767,Ben Sheppard
316,1631245,Quenton Jackson
317,1626167,Myles Turner
325,1630288,Jeff Dowtin Jr.
326,1630215,Jared Butler
327,1641741,Ricky Council IV
330,1642348,Justin Edwards
331,1642272,Jared McCain
334,1627824,Guerschon Yabusele
335,1641737,Adem Bona
336,1642024,Alex Reese
348,1641779,Jalen Bridges
355,1630703,Scoot Henderson
