PLAYER_ID,SEASON,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
1495,2015-16,1.0,4.87,11.26,0.432,0.474,-0.041
1717,2015-16,1.0,6.2,13.39,0.463,0.46,0.003
1717,2016-17,1.0,5.23,10.7,0.489,0.476,0.012
1717,2017-18,1.0,5.83,12.43,0.469,0.477,-0.007
1717,2018-19,1.0,4.06,8.25,0.492,0.472,0.02
1889,2015-16,1.0,2.0,4.69,0.427,0.43,-0.003
1891,2015-16,1.0,2.87,5.69,0.505,0.437,0.068
1891,2016-17,1.0,2.12,5.51,0.385,0.436,-0.052
1891,2017-18,1.0,2.49,5.09,0.49,0.445,0.045
1938,2015-16,1.0,1.61,4.25,0.378,0.438,-0.06
1938,2016-17,1.0,2.04,4.57,0.448,0.448,0.0
1938,2017-18,1.0,2.11,5.13,0.412,0.452,-0.041
2034,2015-16,1.0,1.75,3.97,0.441,0.433,0.007
2034,2016-17,1.0,1.38,3.08,0.45,0.442,0.008
2037,2015-16,1.0,2.62,6.05,0.433,0.441,-0.008
2037,2016-17,1.0,2.74,6.07,0.452,0.444,0.008
2037,2017-18,1.0,2.33,4.45,0.524,0.442,0.082
2037,2018-19,1.0,2.42,4.64,0.522,0.447,0.075
2037,2019-20,1.0,1.0,1.0,1.0,0.431,0.569
2199,2015-16,1.0,4.83,9.42,0.513,0.475,0.038
2199,2016-17,1.0,5.73,11.49,0.499,0.487,0.012
2199,2017-18,1.0,5.5,12.09,0.455,0.482,-0.027
2199,2018-19,1.0,4.91,10.47,0.469,0.489,-0.021
2199,2019-20,1.0,2.25,4.79,0.47,0.478,-0.008
2200,2015-16,1.0,6.33,14.24,0.445,0.484,-0.039
2200,2016-17,1.0,5.51,11.46,0.481,0.481,0.0
2200,2017-18,1.0,5.81,12.71,0.457,0.474,-0.018
2200,2018-19,1.0,3.45,6.86,0.503,0.487,0.015
2207,2015-16,1.0,4.33,9.47,0.458,0.446,0.012
2207,2016-17,1.0,2.76,6.54,0.422,0.45,-0.029
2207,2017-18,1.0,3.45,8.05,0.429,0.458,-0.029
2207,2021-22,1.0,1.0,1.0,1.0,0.379,0.621
2210,2015-16,1.0,2.42,5.68,0.427,0.434,-0.007
2210,2016-17,1.0,3.42,7.89,0.433,0.444,-0.01
2210,2017-18,1.0,1.81,3.94,0.46,0.452,0.008
2225,2015-16,1.0,3.58,7.99,0.449,0.439,0.009
2225,2016-17,1.0,3.42,6.89,0.496,0.444,0.052
2225,2017-18,1.0,2.4,5.11,0.47,0.451,0.018
2225,2018-19,1.0,1.89,4.59,0.411,0.428,-0.017
2399,2015-16,1.0,3.32,7.55,0.44,0.449,-0.009
2399,2016-17,1.0,2.08,5.17,0.401,0.434,-0.032
2403,2015-16,1.0,3.88,7.77,0.499,0.467,0.032
2403,2016-17,1.0,4.34,8.81,0.493,0.467,0.026
2403,2017-18,1.0,3.19,7.46,0.428,0.461,-0.033
2403,2018-19,1.0,2.93,6.48,0.452,0.47,-0.018
2440,2015-16,1.0,4.75,9.93,0.478,0.444,0.034
2440,2016-17,1.0,4.09,8.72,0.47,0.452,0.018
2446,2015-16,1.0,1.47,3.86,0.381,0.422,-0.04
2544,2015-16,1.0,3.21,8.36,0.384,0.447,-0.063
2544,2016-17,1.0,4.85,11.5,0.422,0.456,-0.034
2544,2017-18,1.0,5.37,11.88,0.452,0.459,-0.008
2544,2018-19,1.0,4.58,10.73,0.427,0.461,-0.034
2544,2019-20,1.0,3.91,9.31,0.42,0.463,-0.043
2544,2020-21,1.0,3.95,9.93,0.398,0.461,-0.063
2544,2021-22,1.0,5.43,12.86,0.422,0.469,-0.047
2544,2022-23,1.0,5.24,11.38,0.46,0.483,-0.023
2544,2023-24,1.0,4.69,10.14,0.462,0.48,-0.018
2544,2024-25,1.0,4.91,11.09,0.443,0.469,-0.025
2546,2015-16,1.0,3.72,8.49,0.438,0.449,-0.011
2546,2016-17,1.0,4.38,10.01,0.437,0.455,-0.018
2546,2017-18,1.0,5.43,12.04,0.451,0.468,-0.016
2546,2018-19,1.0,5.8,11.9,0.487,0.459,0.028
