PLAYER_ID,SEASON,TEAM_ID,"('0 Contesting Rebounders', 'DREB')","('0 Contesting Rebounders', 'OREB')","('0 Contesting Rebounders', 'REB')","('0 Contesting Rebounders', 'REB_FREQ')","('0-3 Feet', 'DREB')","('0-3 Feet', 'OREB')","('0-3 Feet', 'REB')","('0-3 Feet', 'REB_FREQ')","('1 Contesting Rebounder', 'DREB')","('1 Contesting Rebounder', 'OREB')","('1 Contesting Rebounder', 'REB')","('1 Contesting Rebounder', 'REB_FREQ')","('10+ Feet', 'DREB')","('10+ Feet', 'OREB')","('10+ Feet', 'REB')","('10+ Feet', 'REB_FREQ')","('2+ Contesting Rebounders', 'DREB')","('2+ Contesting Rebounders', 'OREB')","('2+ Contesting Rebounders', 'REB')","('2+ Contesting Rebounders', 'REB_FREQ')","('3-6 Feet', 'DREB')","('3-6 Feet', 'OREB')","('3-6 Feet', 'REB')","('3-6 Feet', 'REB_FREQ')","('6-10 Feet', 'DREB')","('6-10 Feet', 'OREB')","('6-10 Feet', 'REB')","('6-10 Feet', 'REB_FREQ')","('OVERALL', 'DREB')","('OVERALL', 'OREB')","('OVERALL', 'REB')","('OVERALL', 'REB_CONTESTED')","('OVERALL', 'REB_UNCONTESTED')"
1495,2015-16,1610612759.0,208.0,41.0,249.0,0.568,105.0,30.0,135.0,0.308,109.0,52.0,161.0,0.368,20.0,23.0,43.0,0.098,12.0,16.0,28.0,0.064,162.0,37.0,199.0,0.454,42.0,19.0,61.0,0.139,329,109,438,189,249
1717,2015-16,1610612742.0,299.0,16.0,315.0,0.645,136.0,15.0,151.0,0.309,120.0,26.0,146.0,0.299,23.0,20.0,43.0,0.088,18.0,9.0,27.0,0.055,211.0,8.0,219.0,0.449,67.0,8.0,75.0,0.154,437,51,488,173,315
1717,2016-17,1610612742.0,211.0,11.0,222.0,0.647,93.0,5.0,98.0,0.286,107.0,9.0,116.0,0.338,10.0,6.0,16.0,0.047,4.0,1.0,5.0,0.015,163.0,4.0,167.0,0.487,56.0,6.0,62.0,0.181,322,21,343,121,222
1717,2017-18,1610612742.0,279.0,6.0,285.0,0.655,144.0,5.0,149.0,0.343,124.0,11.0,135.0,0.31,13.0,6.0,19.0,0.044,12.0,3.0,15.0,0.034,208.0,5.0,213.0,0.49,50.0,4.0,54.0,0.124,415,20,435,150,285
1717,2018-19,1610612742.0,110.0,3.0,113.0,0.715,39.0,2.0,41.0,0.259,42.0,2.0,44.0,0.278,5.0,0.0,5.0,0.032,1.0,0.0,1.0,0.006,78.0,0.0,78.0,0.494,31.0,3.0,34.0,0.215,153,5,158,45,113
1889,2015-16,0.0,31.0,5.0,36.0,1.412,5.0,6.0,11.0,0.43,7.0,5.0,12.0,0.472,18.0,1.0,19.0,0.754,1.0,2.0,3.0,0.11599999999999999,7.0,2.0,9.0,0.356,9.0,3.0,12.0,0.458,39,12,51,15,36
1891,2015-16,1610612745.0,56.0,12.0,68.0,0.872,1.0,0.0,1.0,0.013,8.0,2.0,10.0,0.128,36.0,10.0,46.0,0.59,0.0,0.0,0.0,0.0,10.0,2.0,12.0,0.154,17.0,2.0,19.0,0.244,64,14,78,10,68
1891,2016-17,1610612749.0,84.0,13.0,97.0,0.924,2.0,1.0,3.0,0.029,7.0,1.0,8.0,0.076,43.0,12.0,55.0,0.524,0.0,0.0,0.0,0.0,12.0,1.0,13.0,0.124,34.0,0.0,34.0,0.324,91,14,105,8,97
1891,2017-18,1610612749.0,37.0,5.0,42.0,0.875,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.125,24.0,4.0,28.0,0.583,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.125,13.0,1.0,14.0,0.292,43,5,48,6,42
1938,2015-16,1610612759.0,94.0,12.0,106.0,0.731,10.0,4.0,14.0,0.097,23.0,13.0,36.0,0.248,35.0,9.0,44.0,0.303,2.0,1.0,3.0,0.021,34.0,5.0,39.0,0.269,40.0,8.0,48.0,0.331,119,26,145,39,106
1938,2016-17,1610612759.0,104.0,13.0,117.0,0.765,20.0,1.0,21.0,0.137,20.0,14.0,34.0,0.222,33.0,8.0,41.0,0.268,1.0,1.0,2.0,0.013,29.0,6.0,35.0,0.229,43.0,13.0,56.0,0.366,125,28,153,36,117
1938,2017-18,1610612759.0,94.0,11.0,105.0,0.75,15.0,3.0,18.0,0.129,27.0,7.0,34.0,0.243,27.0,6.0,33.0,0.236,0.0,1.0,1.0,0.007,31.0,7.0,38.0,0.271,48.0,3.0,51.0,0.364,121,19,140,35,105
2034,2015-16,1610612743.0,41.0,4.0,45.0,0.865,8.0,0.0,8.0,0.154,5.0,1.0,6.0,0.115,5.0,3.0,8.0,0.154,1.0,0.0,1.0,0.019,24.0,1.0,25.0,0.481,10.0,1.0,11.0,0.212,47,5,52,7,45
2034,2016-17,1610612743.0,30.0,2.0,32.0,0.865,14.0,0.0,14.0,0.378,3.0,0.0,3.0,0.081,4.0,2.0,6.0,0.162,2.0,0.0,2.0,0.054,13.0,0.0,13.0,0.351,4.0,0.0,4.0,0.108,35,2,37,5,32
2037,2015-16,1610612746.0,111.0,13.0,124.0,0.861,8.0,1.0,9.0,0.063,14.0,5.0,19.0,0.132,60.0,7.0,67.0,0.465,0.0,1.0,1.0,0.007,23.0,7.0,30.0,0.208,34.0,4.0,38.0,0.264,125,19,144,20,124
2037,2016-17,1610612746.0,98.0,9.0,107.0,0.823,4.0,4.0,8.0,0.062,15.0,6.0,21.0,0.162,63.0,8.0,71.0,0.546,1.0,1.0,2.0,0.015,19.0,3.0,22.0,0.169,28.0,1.0,29.0,0.223,114,16,130,23,107
2037,2017-18,1610612750.0,75.0,15.0,90.0,0.928,4.0,2.0,6.0,0.062,2.0,2.0,4.0,0.041,47.0,16.0,63.0,0.649,0.0,3.0,3.0,0.031,4.0,1.0,5.0,0.052,22.0,1.0,23.0,0.237,77,20,97,7,90
2037,2018-19,1610612756.0,70.0,7.0,77.0,0.906,3.0,0.0,3.0,0.035,7.0,1.0,8.0,0.094,42.0,7.0,49.0,0.576,0.0,0.0,0.0,0.0,11.0,1.0,12.0,0.141,21.0,0.0,21.0,0.247,77,8,85,8,77
2199,2015-16,1610612756.0,290.0,56.0,346.0,0.607,139.0,68.0,207.0,0.363,106.0,90.0,196.0,0.344,15.0,24.0,39.0,0.068,4.0,24.0,28.0,0.049,193.0,51.0,244.0,0.428,53.0,27.0,80.0,0.14,400,170,570,224,346
2199,2016-17,1610612756.0,253.0,41.0,294.0,0.589,138.0,50.0,188.0,0.377,105.0,67.0,172.0,0.345,13.0,14.0,27.0,0.054,6.0,27.0,33.0,0.066,185.0,40.0,225.0,0.451,27.0,31.0,58.0,0.116,364,135,499,205,294
2199,2017-18,1610612756.0,204.0,46.0,250.0,0.6,100.0,56.0,156.0,0.374,78.0,71.0,149.0,0.357,11.0,15.0,26.0,0.062,2.0,16.0,18.0,0.043,144.0,41.0,185.0,0.444,29.0,21.0,50.0,0.12,284,133,417,167,250
2199,2018-19,0.0,143.0,33.0,176.0,1.161,69.0,44.0,113.0,0.751,64.0,44.0,108.0,0.6659999999999999,10.0,11.0,21.0,0.14400000000000002,7.0,16.0,23.0,0.174,102.0,21.0,123.0,0.8540000000000001,33.0,17.0,50.0,0.252,214,93,307,131,176
2199,2019-20,1610612745.0,25.0,9.0,34.0,0.523,10.0,6.0,16.0,0.246,14.0,12.0,26.0,0.4,1.0,6.0,7.0,0.108,1.0,4.0,5.0,0.077,19.0,7.0,26.0,0.4,10.0,6.0,16.0,0.246,40,25,65,31,34
2200,2015-16,1610612741.0,415.0,44.0,459.0,0.588,227.0,36.0,263.0,0.337,193.0,81.0,274.0,0.351,30.0,23.0,53.0,0.068,21.0,26.0,47.0,0.06,296.0,65.0,361.0,0.463,76.0,27.0,103.0,0.132,629,151,780,321,459
2200,2016-17,1610612759.0,261.0,33.0,294.0,0.602,134.0,30.0,164.0,0.336,115.0,51.0,166.0,0.34,17.0,20.0,37.0,0.076,8.0,20.0,28.0,0.057,189.0,33.0,222.0,0.455,43.0,21.0,64.0,0.131,384,104,488,194,294
2200,2017-18,1610612759.0,340.0,42.0,382.0,0.619,179.0,61.0,240.0,0.389,144.0,59.0,203.0,0.329,12.0,20.0,32.0,0.052,5.0,27.0,32.0,0.052,230.0,28.0,258.0,0.418,68.0,19.0,87.0,0.141,489,128,617,235,382
2200,2018-19,0.0,78.0,6.0,84.0,1.1219999999999999,38.0,7.0,45.0,0.815,37.0,11.0,48.0,0.839,3.0,5.0,8.0,0.063,0.0,5.0,5.0,0.039,59.0,8.0,67.0,0.896,15.0,2.0,17.0,0.226,115,22,137,53,84
2207,2015-16,0.0,211.0,23.0,234.0,1.615,40.0,7.0,47.0,0.311,34.0,16.0,50.0,0.305,68.0,19.0,87.0,0.664,0.0,9.0,9.0,0.08099999999999999,76.0,14.0,90.0,0.616,61.0,8.0,69.0,0.40900000000000003,245,48,293,59,234
2207,2016-17,1610612762.0,168.0,19.0,187.0,0.773,30.0,6.0,36.0,0.149,39.0,10.0,49.0,0.202,47.0,13.0,60.0,0.248,2.0,4.0,6.0,0.025,72.0,9.0,81.0,0.335,60.0,5.0,65.0,0.269,209,33,242,55,187
2207,2017-18,0.0,134.0,6.0,140.0,1.621,33.0,2.0,35.0,0.42100000000000004,22.0,5.0,27.0,0.34500000000000003,24.0,4.0,28.0,0.308,0.0,3.0,3.0,0.034,61.0,3.0,64.0,0.75,38.0,5.0,43.0,0.521,156,14,170,30,140
2210,2015-16,1610612739.0,91.0,10.0,101.0,0.795,27.0,1.0,28.0,0.22,20.0,4.0,24.0,0.189,13.0,8.0,21.0,0.165,1.0,1.0,2.0,0.016,36.0,3.0,39.0,0.307,36.0,3.0,39.0,0.307,112,15,127,26,101
2210,2016-17,1610612739.0,135.0,16.0,151.0,0.759,40.0,4.0,44.0,0.221,36.0,7.0,43.0,0.216,36.0,14.0,50.0,0.251,1.0,4.0,5.0,0.025,55.0,6.0,61.0,0.307,41.0,3.0,44.0,0.221,172,27,199,48,151
2210,2017-18,1610612743.0,13.0,1.0,14.0,0.824,2.0,2.0,4.0,0.235,2.0,1.0,3.0,0.176,2.0,0.0,2.0,0.118,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.235,7.0,0.0,7.0,0.412,15,2,17,3,14
2225,2015-16,1610612759.0,141.0,13.0,154.0,0.88,9.0,1.0,10.0,0.057,15.0,3.0,18.0,0.103,82.0,14.0,96.0,0.549,2.0,1.0,3.0,0.017,23.0,1.0,24.0,0.137,44.0,1.0,45.0,0.257,158,17,175,21,154
2225,2016-17,1610612759.0,95.0,6.0,101.0,0.91,5.0,1.0,6.0,0.054,8.0,2.0,10.0,0.09,62.0,5.0,67.0,0.604,0.0,0.0,0.0,0.0,14.0,0.0,14.0,0.126,22.0,2.0,24.0,0.216,103,8,111,10,101
2225,2017-18,1610612759.0,79.0,4.0,83.0,0.883,9.0,0.0,9.0,0.096,9.0,1.0,10.0,0.106,44.0,4.0,48.0,0.511,0.0,1.0,1.0,0.011,16.0,2.0,18.0,0.191,19.0,0.0,19.0,0.202,88,6,94,11,83
