,,,Restricted Area,Restricted Area,In The Paint (Non-RA),In The Paint (Non-RA),Mid-Range,Mid-Range,Left Corner 3,Left Corner 3,Right Corner 3,Right Corner 3,Above the Break 3,Above the Break 3,Corner 3,Corner 3,,,Restricted Area,In The Paint (Non-RA),Mid-Range,Left Corner 3,Right Corner 3,Above the Break 3,Corner 3,Restricted Area,In The Paint (Non-RA),Mid-Range,Left Corner 3,Right Corner 3,Above the Break 3,Corner 3
PLAYER_ID,PLAYER,SEASON,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,TOTAL_FGM,TOTAL_FGA,FG_PCT,FG_PCT,FG_PCT,FG_PCT,FG_PCT,FG_PCT,FG_PCT,FREQ,FREQ,FREQ,FREQ,FREQ,FREQ,FREQ
1495,T. Duncan,2015-16,108,170,72,154,35,115,0,0,0,0,0,1,0,0,215.0,440.0,0.64,0.47,0.3,0.0,0.0,0.0,0.0,0.39,0.35,0.26,0.0,0.0,0.0,0.0
1717,D. Nowitzki,2015-16,64,90,46,99,262,581,10,29,1,8,115,305,11,37,509.0,1149.0,0.71,0.46,0.45,0.34,0.12,0.38,0.3,0.08,0.09,0.51,0.03,0.01,0.27,0.03
1717,D. Nowitzki,2016-17,27,47,30,61,160,361,4,8,1,5,74,196,5,13,301.0,691.0,0.57,0.49,0.44,0.5,0.2,0.38,0.38,0.07,0.09,0.52,0.01,0.01,0.28,0.02
1717,D. Nowitzki,2017-18,28,37,26,53,154,331,6,12,3,5,129,319,9,17,355.0,774.0,0.76,0.49,0.47,0.5,0.6,0.4,0.53,0.05,0.07,0.43,0.02,0.01,0.41,0.02
1717,D. Nowitzki,2018-19,3,5,13,27,55,139,1,5,6,16,57,183,7,21,142.0,396.0,0.6,0.48,0.4,0.2,0.38,0.31,0.33,0.01,0.07,0.35,0.01,0.04,0.46,0.05
1889,A. Miller,2015-16,31,50,12,20,14,28,0,1,0,0,2,4,0,1,59.0,104.0,0.62,0.6,0.5,0.0,0.0,0.5,0.0,0.48,0.19,0.27,0.01,0.0,0.04,0.01
1891,J. Terry,2015-16,24,36,17,37,17,42,18,50,25,67,50,141,43,117,194.0,490.0,0.67,0.46,0.4,0.36,0.37,0.35,0.37,0.07,0.08,0.09,0.1,0.14,0.29,0.24
1891,J. Terry,2016-17,16,32,9,20,7,20,13,43,22,49,37,77,35,92,139.0,333.0,0.5,0.45,0.35,0.3,0.45,0.48,0.38,0.1,0.06,0.06,0.13,0.15,0.23,0.28
1891,J. Terry,2017-18,8,14,2,7,9,18,6,22,16,34,18,58,22,56,81.0,209.0,0.57,0.29,0.5,0.27,0.47,0.31,0.39,0.07,0.03,0.09,0.11,0.16,0.28,0.27
1938,M. Ginobili,2015-16,72,133,22,54,33,69,7,13,6,11,57,154,13,24,210.0,458.0,0.54,0.41,0.48,0.54,0.55,0.37,0.54,0.29,0.12,0.15,0.03,0.02,0.34,0.05
1938,M. Ginobili,2016-17,49,100,19,52,14,60,8,24,4,15,77,184,12,39,183.0,474.0,0.49,0.37,0.23,0.33,0.27,0.42,0.31,0.21,0.11,0.13,0.05,0.03,0.39,0.08
1938,M. Ginobili,2017-18,90,145,27,72,20,55,8,16,5,23,51,151,13,39,214.0,501.0,0.62,0.38,0.36,0.5,0.22,0.34,0.33,0.29,0.14,0.11,0.03,0.05,0.3,0.08
2034,M. Miller,2015-16,2,5,0,1,1,4,1,4,3,6,15,42,4,10,26.0,72.0,0.4,0.0,0.25,0.25,0.5,0.36,0.4,0.07,0.01,0.06,0.06,0.08,0.58,0.14
2034,M. Miller,2016-17,0,0,1,2,0,1,0,1,0,0,8,19,0,1,9.0,24.0,0.0,0.5,0.0,0.0,0.0,0.42,0.0,0.0,0.08,0.04,0.04,0.0,0.79,0.04
2037,J. Crawford,2015-16,72,124,61,137,129,334,20,48,14,33,82,253,34,81,412.0,1010.0,0.58,0.45,0.39,0.42,0.42,0.32,0.42,0.12,0.14,0.33,0.05,0.03,0.25,0.08
2037,J. Crawford,2016-17,59,111,43,111,141,326,9,24,14,39,90,251,23,63,379.0,925.0,0.53,0.39,0.43,0.38,0.36,0.36,0.37,0.12,0.12,0.35,0.03,0.04,0.27,0.07
2037,J. Crawford,2017-18,29,55,42,79,133,295,15,45,14,27,75,238,29,72,337.0,811.0,0.53,0.53,0.45,0.33,0.52,0.32,0.4,0.07,0.1,0.36,0.06,0.03,0.29,0.09
2037,J. Crawford,2018-19,11,22,34,71,62,143,4,22,5,15,58,163,9,37,183.0,473.0,0.5,0.48,0.43,0.18,0.33,0.36,0.24,0.05,0.15,0.3,0.05,0.03,0.34,0.08
2037,J. Crawford,2019-20,0,0,0,0,1,2,0,0,0,0,1,2,0,0,2.0,4.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
2199,T. Chandler,2015-16,168,252,11,30,4,31,0,0,0,0,0,0,0,0,183.0,313.0,0.67,0.37,0.13,0.0,0.0,0.0,0.0,0.81,0.1,0.1,0.0,0.0,0.0,0.0
2199,T. Chandler,2016-17,150,215,3,11,0,2,0,0,0,0,0,0,0,0,153.0,228.0,0.7,0.27,0.0,0.0,0.0,0.0,0.0,0.94,0.05,0.01,0.0,0.0,0.0,0.0
2199,T. Chandler,2017-18,118,179,2,6,1,2,0,0,0,0,0,0,0,0,121.0,187.0,0.66,0.33,0.5,0.0,0.0,0.0,0.0,0.96,0.03,0.01,0.0,0.0,0.0,0.0
2199,T. Chandler,2018-19,58,90,3,7,0,1,0,0,0,0,0,1,0,0,61.0,99.0,0.64,0.43,0.0,0.0,0.0,0.0,0.0,0.91,0.07,0.01,0.0,0.0,0.01,0.0
2199,T. Chandler,2019-20,14,18,0,0,0,0,0,0,0,0,0,0,0,0,14.0,18.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2200,P. Gasol,2015-16,155,271,68,176,220,479,5,14,3,11,16,44,8,25,475.0,1020.0,0.57,0.39,0.46,0.36,0.27,0.36,0.32,0.27,0.17,0.47,0.01,0.01,0.04,0.02
2200,P. Gasol,2016-17,91,155,60,133,96,212,14,17,8,15,34,72,22,32,325.0,636.0,0.59,0.45,0.45,0.82,0.53,0.47,0.69,0.24,0.21,0.33,0.03,0.02,0.11,0.05
2200,P. Gasol,2017-18,140,216,43,131,61,160,6,20,7,19,30,81,13,39,300.0,666.0,0.65,0.33,0.38,0.3,0.37,0.37,0.33,0.32,0.2,0.24,0.03,0.03,0.12,0.06
2200,P. Gasol,2018-19,19,36,9,24,8,21,0,2,0,1,6,10,0,3,42.0,97.0,0.53,0.38,0.38,0.0,0.0,0.6,0.0,0.37,0.25,0.22,0.02,0.01,0.1,0.03
2207,J. Johnson,2015-16,47,79,117,242,93,225,24,62,20,45,76,203,44,107,421.0,963.0,0.59,0.48,0.41,0.39,0.44,0.37,0.41,0.08,0.25,0.23,0.06,0.05,0.21,0.11
2207,J. Johnson,2016-17,43,63,67,145,57,160,23,53,16,36,66,168,39,89,311.0,714.0,0.68,0.46,0.36,0.43,0.44,0.39,0.44,0.09,0.2,0.22,0.07,0.05,0.24,0.12
2207,J. Johnson,2017-18,15,21,49,107,42,88,8,31,10,28,22,84,18,59,164.0,418.0,0.71,0.46,0.48,0.26,0.36,0.26,0.31,0.05,0.26,0.21,0.07,0.07,0.2,0.14
2207,J. Johnson,2021-22,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2210,R. Jefferson,2015-16,56,77,7,22,14,40,14,34,25,53,27,85,39,87,182.0,398.0,0.73,0.32,0.35,0.41,0.47,0.32,0.45,0.19,0.06,0.1,0.09,0.13,0.21,0.22
2210,R. Jefferson,2016-17,78,106,7,26,6,25,13,36,20,52,28,96,33,88,185.0,429.0,0.74,0.27,0.24,0.36,0.38,0.29,0.38,0.25,0.06,0.06,0.08,0.12,0.22,0.21
