,PLAYER_ID,PLAYER,Height,Weight,Position,Draft Year
0,1631210,Jacob Toppin,6-9,200,Forward,Undrafted
1,1630552,Jalen Johnson,6-8,219,Forward,2021
2,1630811,Keaton Wallace,6-3,185,Guard,Undrafted
3,1627747,Caris LeVert,6-7,205,Guard,2016
4,1641723,Kobe Bufkin,6-4,195,Guard,2023
5,1630700,Dyson Daniels,6-7,199,Guard,2022
6,1642258,Zaccharie Risacher,6-8,200,Forward,2024
7,1629027,Trae Young,6-2,164,Guard,2018
8,1629611,Terance Mann,6-6,215,Guard-Forward,2019
9,203991,Clint Capela,6-10,256,Center,2014
10,1630168,Onyeka Okongwu,6-10,240,Forward-Center,2020
11,1631243,Mouhamed Gueye,6-11,210,Forward,2023
12,1627777,Georges Niang,6-6,230,Forward,2016
13,1626204,Larry Nance Jr.,6-6,245,Forward-Center,2015
14,1629726,Garrison Mathews,6-6,215,Guard,Undrafted
15,1631230,Dominick Barlow,6-9,215,Forward,Undrafted
16,1630249,Vít Krejčí,6-8,195,Guard,2020
17,1631342,Daeqwon Plowden,6-4,216,Guard-Forward,Undrafted
18,1628369,Jayson Tatum,6-8,210,Forward-Guard,2017
19,1641936,Miles Norris,6-7,220,Forward,Undrafted
20,201950,Jrue Holiday,6-4,220,Guard,2009
21,1627759,Jaylen Brown,6-6,223,Guard-Forward,2016
22,204001,Kristaps Porziņģis,7-2,240,Forward-Center,2015
23,1628401,Derrick White,6-4,190,Guard,2017
24,1630202,Payton Pritchard,6-1,195,Guard,2020
25,1628470,Torrey Craig,6-5,221,Forward,Undrafted
26,1641809,Drew Peterson,6-8,205,Forward,Undrafted
27,1631120,JD Davison,6-1,195,Guard,2022
28,1630214,Xavier Tillman,6-8,245,Forward,2020
29,1641775,Jordan Walsh,6-6,205,Guard,2023
30,1630573,Sam Hauser,6-7,217,Forward,Undrafted
31,1628436,Luke Kornet,7-1,250,Center-Forward,Undrafted
32,201143,Al Horford,6-8,240,Center-Forward,2007
33,1631248,Baylor Scheierman,6-6,205,Guard,2024
34,1629674,Neemias Queta,7-0,248,Center,2021
35,1629622,Max Strus,6-5,215,Guard-Forward,Undrafted
36,1629660,Ty Jerome,6-5,195,Guard-Forward,2019
37,1630596,Evan Mobley,6-11,215,Center,2021
38,1630241,Sam Merrill,6-4,205,Guard,2020
39,1629750,Javonte Green,6-5,205,Guard,Undrafted
40,1641854,Craig Porter Jr.,6-1,180,Guard,Undrafted
41,1629636,Darius Garland,6-1,192,Guard,2019
42,1629631,De'Andre Hunter,6-7,221,Forward-Guard,2019
43,202684,Tristan Thompson,6-9,254,Center-Forward,2011
44,1629643,Chuma Okeke,6-7,229,Forward,2019
45,1641734,Emoni Bates,6-8,202,Forward,2023
46,1642281,Jaylon Tyson,6-6,215,Guard-Forward,2024
47,1641772,Nae'Qwan Tomlin,6-8,210,Forward,Undrafted
48,1628386,Jarrett Allen,6-9,243,Center,2017
49,1629731,Dean Wade,6-9,228,Forward-Center,Undrafted
50,1631247,Luke Travers,6-6,207,Forward,2022
51,1630171,Isaac Okoro,6-4,225,Forward-Guard,2020
52,1628378,Donovan Mitchell,6-2,215,Guard,2017
53,1631232,Keion Brooks Jr.,6-7,210,Forward,Undrafted
54,1628971,Bruce Brown,6-4,202,Guard-Forward,2018
55,1629627,Zion Williamson,6-6,284,Forward,2019
56,1630529,Herbert Jones,6-7,206,Forward,2021
57,203468,CJ McCollum,6-3,190,Guard,2013
58,203901,Elfrid Payton,6-3,195,Guard,2014
59,1627749,Dejounte Murray,6-4,180,Guard,2016
60,1631288,Jamal Cain,6-7,191,Forward,Undrafted
61,1630527,Brandon Boston,6-6,188,Guard,2021
62,1641810,Antonio Reeves,6-5,205,Guard,2024
63,203482,Kelly Olynyk,7-0,240,Forward-Center,2013
64,1630631,Jose Alvarado,6-0,179,Guard,Undrafted
65,1631255,Karlo Matković,6-10,231,Forward-Center,2022
66,1642274,Yves Missi,6-11,235,Center,2024
67,1631311,Lester Quinones,6-4,208,Guard,Undrafted
68,1641722,Jordan Hawkins,6-5,190,Guard,2023
69,1630530,Trey Murphy III,6-8,206,Forward,2021
70,1630526,Jeremiah Robinson-Earl,6-9,240,Forward,2021
71,1629632,Coby White,6-4,195,Guard,2019
72,1628366,Lonzo Ball,6-5,190,Guard,2017
73,1630581,Josh Giddey,6-7,216,Guard,2021
74,1628975,Jevon Carter,6-0,200,Guard,2018
75,1630188,Jalen Smith,6-8,215,Forward-Center,2020
76,202696,Nikola Vučević,6-9,260,Center,2011
77,1630245,Ayo Dosunmu,6-4,200,Guard,2021
78,1642443,Jahmir Young,6-0,185,Guard,Undrafted
79,1628380,Zach Collins,6-9,250,Forward-Center,2017
80,1628989,Kevin Huerter,6-6,198,Guard-Forward,2018
81,1641824,Matas Buzelis,6-8,209,Forward,2024
82,1641763,Julian Phillips,6-6,198,Forward,2023
83,1641801,Emanuel Miller,6-5,215,Forward,Undrafted
84,1629659,Talen Horton-Tucker,6-4,234,Guard,2019
85,1631207,Dalen Terry,6-6,195,Forward,2022
86,1630200,Tre Jones,6-1,185,Guard,2020
87,1630604,E.J. Liddell,6-6,240,Forward,2022
88,1630172,Patrick Williams,6-6,215,Forward,2020
89,203957,Danté Exum,6-5,214,Guard,2014
90,1631108,Max Christie,6-5,190,Guard,2022
91,1630702,Jaden Hardy,6-3,198,Guard,2022
92,1641726,Dereck Lively II,7-1,230,Center,2023
93,203076,Anthony Davis,6-10,253,Forward-Center,2012
94,203939,Dwight Powell,6-10,240,Forward-Center,2014
95,1641765,Olivier-Maxence Prosper,6-7,230,Forward,2023
96,1630314,Brandon Williams,6-1,190,Guard,Undrafted
97,202681,Kyrie Irving,6-2,195,Guard,2011
98,1630230,Naji Marshall,6-6,220,Forward,Undrafted
99,1628997,Caleb Martin,6-5,205,Forward,Undrafted
100,1630556,Kessler Edwards,6-7,203,Forward,2021
101,1629655,Daniel Gafford,6-10,265,Forward-Center,2019
102,1630539,Kai Jones,6-11,221,Center-Forward,2021
103,1629023,P.J. Washington,6-7,230,Forward,2019
104,203915,Spencer Dinwiddie,6-5,215,Guard,2014
105,202691,Klay Thompson,6-5,220,Guard,2011
106,1631128,Christian Braun,6-6,220,Guard,2022
107,1629008,Michael Porter Jr.,6-10,218,Forward,2018
108,1631124,Julian Strawther,6-6,205,Guard,2023
109,201566,Russell Westbrook,6-4,200,Guard,2008
110,1641816,Hunter Tyson,6-8,215,Forward,2023
111,201599,DeAndre Jordan,6-11,265,Center,2008
112,1631212,Peyton Watson,6-8,200,Guard,2022
113,203967,Dario Šarić,6-10,225,Forward-Center,2014
114,1641790,PJ Hall,6-8,245,Center,Undrafted
115,1641747,DaRon Holmes II,6-9,225,Forward,2024
116,203999,Nikola Jokić,6-11,284,Center,2014
117,1642461,Spencer Jones,6-7,225,Forward,Undrafted
118,1630192,Zeke Nnaji,6-10,240,Forward-Center,2020
119,1641725,Trey Alexander,6-5,185,Guard,Undrafted
120,1629618,Jalen Pickett,6-2,202,Guard,2023
121,1627750,Jamal Murray,6-4,215,Guard,2016
122,1628427,Vlatko Čančar,6-8,236,Forward,2017
123,203932,Aaron Gordon,6-8,235,Forward,2014
124,1627780,Gary Payton II,6-2,195,Guard,Undrafted
125,1630228,Jonathan Kuminga,6-7,225,Forward,2021
126,1642379,Taran Armstrong,6-5,190,Guard,Undrafted
127,1641764,Brandin Podziemski,6-4,205,Guard,2023
128,1630541,Moses Moody,6-5,211,Guard,2021
129,1626172,Kevon Looney,6-9,222,Forward,2015
130,1627741,Buddy Hield,6-4,220,Guard,2016
131,202710,Jimmy Butler III,6-6,230,Forward,2011
